general.model_name,additional_features.pointer_device,processor_and_memory_features.dedicated_graphic_memory_capacity,processor_and_memory_features.dedicated_graphic_memory_type,additional_features.antivirus,display_and_audio_features.internal_mic,port_and_slot_features.usb_port,port_and_slot_features.firewire_port,display_and_audio_features.brightness,processor_and_memory_features.ssd,display_and_audio_features.certification,url,processor_and_memory_features.chipset,port_and_slot_features.hardware_interface,display_and_audio_features.screen_size,dimensions.dimensions,processor_and_memory_features.clock_speed,additional_features.disk_drive,operating_system.system_architecture,additional_features.finger_print_sensor,port_and_slot_features.multi_card_slot,display_and_audio_features.refresh_rate,general.battery_backup,additional_features.additional_features,processor_and_memory_features.cache,general.sales_package,warranty.international_warranty,processor_and_memory_features.memory_slots,additional_features.read/write_speed,port_and_slot_features.hdmi_port,general.inbuilt_4g_lte,processor_and_memory_features.processor_variant,general.series,timestamp,processor_and_memory_features.hdd_capacity,general.part_number,processor_and_memory_features.emmc_storage_capacity,additional_features.recovery_options,processor_and_memory_features.optane_memory,general.tgp,additional_features.security_chip,processor_and_memory_features.ssd_capacity,additional_features.laptop_bag,operating_system.os_architecture,additional_features.included_software,connectivity_features.wireless_lan,processor_and_memory_features.graphic_processor,processor_and_memory_features.rpm,display_and_audio_features.touchscreen,display_and_audio_features.screen_resolution,dimensions.weight,general.ms_office_provided,processor_and_memory_features.processor_name,connectivity_features.bluetooth,price,processor_and_memory_features.expandable_ssd_capacity,port_and_slot_features.mic_in,general.stylus_included,warranty.warranty_summary,connectivity_features.ethernet,review_count,port_and_slot_features.vga_port,warranty.not_covered_in_warranty,rating_average,general.type,operating_system.operating_system,product_title,connectivity_features.nfc_support,processor_and_memory_features.ram_frequency,connectivity_features.wireless_wan,processor_and_memory_features.ram,processor_and_memory_features.storage_type,warranty.warranty_service_type,display_and_audio_features.speakers,warranty.domestic_warranty,processor_and_memory_features.processor_brand,additional_features.keyboard,warranty.covered_in_warranty,display_and_audio_features.screen_type,additional_features.face_recognition,display_and_audio_features.sound_chip,port_and_slot_features.dock_port,processor_and_memory_features.number_of_cores,in_stock,processor_and_memory_features.expandable_memory,operating_system.supported_operating_system,processor_and_memory_features.ufs_storage_capacity,display_and_audio_features.color_gamut,port_and_slot_features.rj11,display_and_audio_features.sound_properties,general.battery_cell,port_and_slot_features.s-video,general.suitable_for,additional_features.other_accessories,processor_and_memory_features.ram_type,general.model_number,general.color,port_and_slot_features.rj45,additional_features.lock_port,additional_features.backlit_keyboard,processor_and_memory_features.processor_generation,general.power_supply,additional_features.web_camera
14s-dy2508TU,HP Imagepad with Multi-Touch Gesture Support,,,,Integrated Dual Array Digital Microphones,"1 x SuperSpeed USB Type-C 5 Gbps Signaling Rate, 2 x SuperSpeed USB Type-A 5 Gbps Signaling Rate",,,Yes,,https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-dy2508tu-thin-light-laptop/p/itm42a82790cf5ec?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMIAZPET&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_705&otracker=browse&fm=organic&iid=5c12fca9-0816-493d-ae0b-ee6b0925247f.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,PCIe NVMe M.2,35.56 cm (14 inch),325 x 216 x 17.0 mm,"Base Frequency 1.7 GHz, Max Turbo Frequency at 4.1 GHz",Not Available,64 bit,,1 x Multi-Format SD Media Card Reader (Support SD/SDHC/SDxC and Supports Mini Versions of SD/MS Adapters),,,"3 Cell, 41 Wh Li-ion, Support Battery Fast Charge",6 MB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,"1 x HDMI 2.1, 1 x HDMI 1.4b",,1115G4,14s,2024-11-04 17:07:50,,6X360PA#ACJ,,,,,"Energy Star Certified, EPEAT Silver Registered",512 GB,,64 bit,Microsoft Office Home & Student 2021,Realtek RTL8822CE 802.11 a/b/g/n/ac (2 x 2),Intel Integrated UHD,3200,No,1920 x 1080 Pixel,1.41 kg,Yes,Core i3,v5.0,"₹37,669",,Yes,,1 Year Onsite Warranty,,"12,701 Ratings & 949 Reviews",,Physical Damage,4.3,Thin and Light Laptop,Windows 11 Home,"HP 14s Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)",,,,8 GB,SSD,Onsite,Built-in Dual Speaker,1 Year,Intel,"Full-size, Natural Silver keyboard",Manufacturing Defects,"Full HD, IPS, Micro-Edge, Anti-Glare, Brightness: 250 Nits, 157 PPI, Color Gamut: 45% NTSC",,,,2,Yes,,Windows 11 Home,,,,,3 Cell,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",,DDR4,14s - dy2508TU,Natural Silver,,,,11th Gen,,HP True Vision 720p HD Camera
15-fc0025AU,,,,,Built-in Dual Array Digital Microphones,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",,,Yes,,https://www.flipkart.com/hp-fc0026au-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-15-fc0025au-thin-light-laptop/p/itm3f21e9fdfc42f?pid=COMGZ7FRZDEQHNYQ&lid=LSTCOMGZ7FRZDEQHNYQRNCPHM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_706&otracker=browse&fm=organic&iid=5c12fca9-0816-493d-ae0b-ee6b0925247f.COMGZ7FRZDEQHNYQ.SEARCH&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,,39.62 cm (15.6 Inch),358 x 242 x 19.9,2.4GHz Upto 4.1GHz,Not Available,64 Bit,,,,,41 Wh Li-ion Battery,4 MB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,1 x HDMI 1.4b,,7320U,FC0026AU,2024-11-04 17:07:53,,7L029PA#ACJ,,,,,,512 GB,,64 bit,,Realtek Wi-Fi 6 (1x1),AMD Radeon AMD,,No,1920 x 1080 Pixel,1.75 Kg,Yes,Ryzen 3 Quad Core,v5.3,"₹32,999",,,,1 Year Onsite Warranty,,170 Ratings & 16 Reviews,,Physical Damage,4,Thin and Light Laptop,Windows 11 Home,"HP FC0026AU AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0025AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.75 Kg, With MS Office)",,,,8 GB,SSD,Onsite,Built-in Dual Speakers,1 Year,AMD,"Full-size, soft grey keyboard with numeric keypad",Manufacturing Defects,"FHD, micro-edge, anti-glare, Brightness: 250 nits, Color Gamut: 45%NTSC",,,,4,Yes,,Windows 11 Home,,,,,3 Cell,,Processing & Multitasking,,DDR4,15-fc0025AU,Natural Silver,,,No,,,HP True Vision 1080p FHD camera
S3402ZA-LY522WS,,,,,Yes,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 supports display / power delivery",,,Yes,,https://www.flipkart.com/asus-vivobook-s-14-intel-evo-h-series-core-i5-12th-gen-12500h-8-gb-512-gb-ssd-windows-11-home-s3402za-ly522ws-thin-light-laptop/p/itm3158ed9290840?pid=COMGNY4VWHZKRSHT&lid=LSTCOMGNY4VWHZKRSHTLHINGA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_707&otracker=browse&fm=organic&iid=en_MN3XnBz2N2E-eKYRYwzbPnuC8FpjU6F9IPYkgL7QBQhXZqFGmQZAY01BgPPPe8Bs9Wy-xiq_iFsaDu41TzXmfUhz9c-MSIoFe8xMxkfU6dM%3D&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,,35.56 cm (14 inch),,2.5 GHz with Max Turbo Boost Frequency Up to 4.50 GHz,Not Available,,Yes,,,,,,"Laptop, battery, power adapter, user guide",,,,1 x HDMI 2.1,,12500H,Vivobook S 14 Intel EVO H-Series,2024-11-04 17:07:56,,90NB0WE2-M00P60,,,,,,512 GB,,,,Wi-Fi 6E(802.11ax) (Dual band) 2*2,Intel Integrated Iris Xe,,No,1920 x 1200 Pixel,1.50 Kg,No,Core i5,v5.0,"₹62,990",NA,,,1 Year Onsite Warranty,,"2,140 Ratings & 205 Reviews",,Physical Damage,4.3,Thin and Light Laptop,Windows 11 Home,"ASUS Vivobook S 14 Intel EVO H-Series Intel Core i5 12th Gen 12500H - (8 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY522WS Thin and Light Laptop  (14 inch, Indie Black, 1.50 Kg)",,,,8 GB,SSD,Onsite,Built-in Speakers,1 Year,Intel,Backlit Chiclet Keyboard,Manufacturing Defects,"FHD+ (1920 x 1200, WUXGA) 16:10 aspect ratio, LED Backlit LCD, IPS-level Panel, Anti-glare display, 300nits Brightness, 85�% Screen-to-body ratio",,,,,Yes,12,,,,,,3 cell,,Processing & Multitasking,,DDR4,S3402ZA-LY522WS,Indie Black,,,Yes,12th Gen,,720p HD camera With privacy shutter
NP750XGJ-LG4IN,,,,,Internal Digital MIC,"Yes, 2 x USB Type C, 2 x USB 3.2 Type A",,,Yes,,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg4in-thin-light-laptop/p/itm1ad811a174c21?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_708&otracker=browse&fm=organic&iid=en_MN3XnBz2N2E-eKYRYwzbPnuC8FpjU6F9IPYkgL7QBQjZGKetnBb9WWfFHLynRAdbDJNVxCh7S4sNVFps2ot9PvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,,39.62 cm (15.6 Inch),356.6 x 229.15 x 15.4 mm,Up to 4.5 GHz,Not Available,,Yes,,,,,,"Laptop, 45W Charger, Data Cable(USB-C to C, 1.8m), Quick Start Guide",,,,,,1315U,Galaxy Book4 Metal,2024-11-04 17:07:59,,NP750XGJ-LG4IN,,,,,,512 GB,,,,Wi-Fi 6,Intel Integrated Iris Xe,,No,1920 x 1080 Pixel,1.55 Kg,Yes,Core i3,v5.2,"₹37,990",,,,1 Year Onsite Warranty,,739 Ratings & 107 Reviews,,Physical Damage,4.5,Thin and Light Laptop,Windows 11 Home,"SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-LG4IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)",,,,8 GB,SSD,Onsite,"HD Audio Codec, Dolby Atmos, Embedded Stereo Speakers, Internal Digital MIC",,Intel,QWERTY,Manufacturer Defect Only,Full HD LCD Display,,,,,Yes,,,,,,,,,Processing & Multitasking,,LPDDR4X,NP750XGJ-LG4IN,Gray,,,,13th Gen,,"Yes, 1 Megapixel"
ZEB-NBC 3S,,,,,Yes,"3 x USB Type A , 2 x USB Type C",,,Yes,,https://www.flipkart.com/zebronics-pro-series-z-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-zeb-nbc-3s-thin-light-laptop/p/itm13738bb20d1f1?pid=COMGSZ8NGKP8DJVF&lid=LSTCOMGSZ8NGKP8DJVFJOIZLO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_709&otracker=browse&fm=organic&iid=5c12fca9-0816-493d-ae0b-ee6b0925247f.COMGSZ8NGKP8DJVF.SEARCH&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,,39.62 cm (15.6 inch),360 x 232 x 20 mm,Max Turbo Frequency upto 4.4GHz,Not Available,,,,,Upto 5 Hours,,,"Laptop:- 1U , Power adapter:- 1U , Quick start Guide:- 1U, QR code Guide:- 1U",,,,1 x HDMI,,1215U,Pro Series Z,2024-11-04 17:08:03,,ZEB-NBC 3S,,,,,,512 GB,,,,802.11 a/b/g/n/ac,Intel Integrated UHD,,No,1920 X 1080 Pixel,1.76 Kg,No,Core i3,v5.0,"₹28,490",,,,1 Year Carry-in Warranty,,344 Ratings & 33 Reviews,,Any Physical damage or Any accessories,3.9,Thin and Light Laptop,Windows 11 Home,"ZEBRONICS Pro Series Z Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 3S Thin and Light Laptop  (15.6 inch, Space Grey, 1.76 Kg)",,,,8 GB,SSD,Carry-In,Yes,,Intel,Full Size keyboard with scissor keycaps,"Manufacturing Defects, 1 Year carry into services center / only 6 month carry into service center for charging adapter","Full HD, IPS Screen",,,,,No,64 GB,,,,,,,,Processing & Multitasking,,DDR4,ZEB-NBC 3S,Space Grey,,,No,12th Gen,,2MP
Inspiron 7430,,,,,,,,,Yes,,https://www.flipkart.com/dell-intel-core-i3-13th-gen-8-gb-1-tb-ssd-windows-11-home-ic7430xyw6f002ors1-thin-light-laptop/p/itm37a46face9f29?pid=COMGTA7SHNMMGEGW&lid=LSTCOMGTA7SHNMMGEGWUT9HQY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_710&otracker=browse&fm=organic&iid=5c12fca9-0816-493d-ae0b-ee6b0925247f.COMGTA7SHNMMGEGW.SEARCH&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,,35.56 cm (14 inch),,,Not Available,,,,,UPTO 8 HRS,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,,,2024-11-04 17:08:06,,IC7430XYW6F002ORS1,,,,,,1 TB,,,,,Intel Integrated Intel® Iris® Xe Graphics,,Yes,1920 x 1200 pixel,,Yes,Core i3,YES,"₹64,890",,,,1-year warranty,,"(4,383)",,Physical Damage,3.3,Thin and Light Laptop,Windows 11 Home,"DELL Intel Core i3 13th Gen - (8 GB/1 TB SSD/Windows 11 Home) IC7430XYW6F002ORS1 Thin and Light Laptop  (14 inch, Platinum Silver, With MS Office)",,,,8 GB,SSD,Onsite,,,Intel,,Manufacturing Defects,,,,,,Yes,,,,,,,,,Travel & Business,,LPDDR5,IC7430XYW6F002ORS1,Platinum Silver,,,,13th Gen,,
ThinkBook 16 G6,,,,,Dual array microphone,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 2 x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",,,Yes,,https://www.flipkart.com/lenovo-thinkbook-16-g6-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-irl-5-thin-light-laptop/p/itmd7e1aca8d63e9?pid=COMGZGWUG25DHHWB&lid=LSTCOMGZGWUG25DHHWBIJL9SN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_711&otracker=browse&fm=organic&iid=en_MN3XnBz2N2E-eKYRYwzbPnuC8FpjU6F9IPYkgL7QBQjeJtH74f6ZLuIzsiJd_30dGo_AWl61fRbNLqXp5Qhm8_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,,40.64 cm (16 Inch),356 x 253.5 x 17.5 mm,1.2 GHz with Turbo Boost Upto 4.5 GHz,Not Available,,,,,Upto 9.15 Hours,,,"Laptop, User manual, Adapter",,,,1 x HDMI 2.1,,1315U,ThinkBook 16 G6,2024-11-04 17:08:09,,21KHA0J5IN,,,,,,512 GB,,,,"Wi-Fi 6, 802.11ax 2x2 Wi-Fi",Intel Integrated UHD,,No,1920 x 1200 Pixel,1.7 Kg,Yes,Core i3,v5.2,"₹37,990",,,,1 Year Onsite warranty,,150 Ratings & 17 Reviews,,Physical Damage,4.3,Thin and Light Laptop,Windows 11 Home,"Lenovo ThinkBook 16 G6 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 16 G6 IRL 5 Thin and Light Laptop  (16 Inch, Arctic Grey, 1.7 Kg, With MS Office)",,,,8 GB,SSD,Onsite,Built-in Speakers,,Intel,,Manufacturing Defects,WUXGA IPS Anti-glare Display,,,,,Yes,,,,,,,,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",,DDR5,ThinkBook 16 G6 IRL 5,Arctic Grey,,,,13th Gen,,"HD 720p, with privacy shutter, fixed focus"
X1504ZA-NJ521WS|X1504ZA-NJ520WS|X1504ZA-NJ528WS,,,,,Yes,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A",,,Yes,,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj521ws-x1504za-nj520ws-x1504za-nj528ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMHYWSWMFQQBCG3&lid=LSTCOMHYWSWMFQQBCG3ZA9JEY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_712&otracker=browse&fm=organic&iid=en_MN3XnBz2N2E-eKYRYwzbPnuC8FpjU6F9IPYkgL7QBQjpmgEy2JXtIS5DbGnngD9SGkv1B444Ixc41ABy9a8sK_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,,39.62 cm (15.6 Inch),359.7 x 232.5 x 17.9 mm,Max turbo frequency at 4.4 Ghz,Not Available,,No,,,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,1 x HDMI 1.4,,1235U,Vivobook 15,2024-11-04 17:08:13,,90NB1021-M00FZ0|90NB1021-M00070,,,,,,512 GB,,,,Wi-Fi 6E(802.11ax) (Dual band) 1*1,Intel Integrated Iris Xe,,No,1920 x 1080 Pixel,1.7 Kg,Yes,Core i5,v5.3,"₹47,990",,,,1 Year Onsite Warranty,,"5,020 Ratings & 259 Reviews",,Physical Damage,4.2,Thin and Light Laptop,Windows 11 Home,"ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X1504ZA-NJ520WS|X1504ZA-NJ528WS Thin and Light Laptop  (15.6 Inch, Quiet Blue, 1.7 Kg, With MS Office)",,,,8 GB,SSD,Onsite,Yes,,Intel,Backlit Chiclet Keyboard,Manufacturing Defects,"Full HD, 16:9 aspect ratio, LED Backlit, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display",No,,,,Yes,,,,,,,3 cell,,Processing & Multitasking,,DDR4,X1504ZA-NJ521WS|X1504ZA-NJ520WS|X1504ZA-NJ528WS,Quiet Blue,,,Yes,12th Gen,,720p HD camera With privacy shutter
Inspiron 3511,Touchpad,,,,Yes,"2x USB 3.2 Gen1 ,1x USB 2.0",,,Yes,,https://www.flipkart.com/dell-inspiron-intel-core-i3-11th-gen-1115g4-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itme12718264c946?pid=COMGAD2BGUNDQN2X&lid=LSTCOMGAD2BGUNDQN2XUXSAWE&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_713&otracker=browse&fm=organic&iid=5c12fca9-0816-493d-ae0b-ee6b0925247f.COMGAD2BGUNDQN2X.SEARCH&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,M.2 SATA,39.62 cm (15.6 Inch),235 X 358 X 18.9 mm,4.1,Not Available,64,No,1x SD Media Card Reader,,Upto 7 hours,,6,"Laptop, battery, adapter, cables and user manuals",,2,,1x HDMI 1.4 port,,1115G4,Inspiron,2024-11-04 17:08:16,1 TB,D560720WIN9B,,,,,,256 GB,,64 bit,,802.11ac,Intel Integrated UHD Graphics,5400,No,1920 x 1080 Pixels,1.8 Kgs,Yes,Core i3,v5.0,"₹39,400",,Yes,,1 Year Onsite Warranty,Yes,449 Ratings & 41 Reviews,,Accidental Damage,4.2,Thin and Light Laptop,Windows 11 Home,"DELL Inspiron Intel Core i3 11th Gen 1115G4 - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",,2666 MHz,,8 GB,Hybrid,Onsite,Yes,1 Year,Intel,English International Backlit Keyboard,Manufacturing Defects,FHD WVA AG Narrow Border,,,,2,Yes,16,Windows 11,,,,Waves Maxx Audio Pro,3,,"Everyday Use, Processing & Multitasking",,DDR4,Inspiron 3511,Carbon Black,No,Kensington Lock Port,Yes,11th Gen,,HD
X1605ZAC-MB540WS,,,,,Built-in microphone,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 3.2 Gen 1 Type-A, 1 x DC-in",,,Yes,,https://www.flipkart.com/asus-intel-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-x1605zac-mb540ws-thin-light-laptop/p/itm77d2244b7cc28?pid=COMHYG8Z6FHFTVZY&lid=LSTCOMHYG8Z6FHFTVZYR5GIQF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_714&otracker=browse&fm=organic&iid=5c12fca9-0816-493d-ae0b-ee6b0925247f.COMHYG8Z6FHFTVZY.SEARCH&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,,40.64 cm (16 inch),358.7 x 249.5 x 19.9mm,Upto 4.5 GHz,Not Available,,,,,,42 WHrs Li-ion,18 MB,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,1 x HDMI 1.4,,12500H,,2024-11-04 17:08:19,,90NB0ZA2-M017U0,,,,,,512 GB,,,,Wi-Fi 5(802.11ac) (Dual band) 1 x 1,Intel Integrated Integrated,,No,1920 x 1200 Pixel,1.88 Kg,Yes,Core i5,v5.1,"₹57,990",,Yes,,1 Year Onsite Warranty,,4 Ratings & 0 Reviews,,Physical Damage,2.5,Thin and Light Laptop,Windows 11 Home,"ASUS Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home) X1605ZAC-MB540WS Thin and Light Laptop  (16 inch, Silver, 1.88 Kg, With MS Office)",,,,16 GB,SSD,Onsite,Built-in speaker,1 Year,Intel,Backlit Chiclet Keyboard with Num-key,Manufacturing Defects,"WUXGA 16:10 aspect ratio, IPS-level Panel, 60Hz refresh rate, 300nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified",,,,12,Yes,,Windows 11 Home,,,,,3 Cell,,Processing & Multitasking,,DDR4,X1605ZAC-MB540WS,Silver,,,Yes,12th Gen,,720p HD camera With privacy shutter
Vivobook 15 X1504ZA,Multi-gesture Touch-pad,,DDR4,1 Year McAfee,Yes,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 3.2 Gen 1 Type-A",,,Yes,,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj522ws-laptop/p/itm4d7a921842ae4?pid=COMGQUSHYGF8YHNU&lid=LSTCOMGQUSHYGF8YHNUXBMUVW&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_715&otracker=browse&fm=organic&iid=5c12fca9-0816-493d-ae0b-ee6b0925247f.COMGQUSHYGF8YHNU.SEARCH&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,M.2 NVMe™ PCIe,39.62 cm (15.6 inch),35.97 x 23.25 x 1.79 ~ 1.79 cm,1.3 Ghz. Upto 4.4 Ghz.,Not Available,64 Bit,No,,,Upto 6 Hours,,12 MB,"Laptop, Manual, Adaptor",,,,1x HDMI,,1235U,Vivobook 15,2024-11-04 17:08:22,,90NB1022-M00H00,,,,,,512 GB,No,64 bit,,Wi-Fi 6E(802.11ax) (Dual band),Intel Integrated Intel Iris Xe,,No,1920*1080 pixel,1.7 kg,Yes,Core i5,YES,"₹47,990",,Yes,,1 year manufacturing Warranty,,7 Ratings & 1 Reviews,,"Damage, Burn",4.3,Laptop,Windows 11 Home,"ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ522WS Laptop  (15.6 inch, Cool Silver, 1.7 kg, With MS Office)",,,Wi-Fi 6E(802.11ax) (Dual band),8 GB,SSD,On Site,SonicMaster || Built-in speaker || Built-in array microphone || with Cortana voice-recognition support,1 Year,Intel,Backlit Chiclet Keyboard with Num-key,Manufacturer Defect,39.62 cms (15.6) FHD (1920 x 1080) Anti-glare display having 16:09 Aspect Ratio || 60Hz Refresh rate || 250nits Brightness,,SonicMaster,,10,Yes,,,,,,SonicMaster || Built-in speaker || Built-in array microphone || with Cortana voice-recognition support,,,Learning,,DDR4,X1504ZA-NJ522WS,Cool Silver,,,Yes,12th Gen,,720p HD camera || With privacy shutter
14Q8X9,,,,,Yes,"3 x USB-C (USB4 40Gbps), with USB PD 3.1",,,Yes,,https://www.flipkart.com/lenovo-yoga-slim-7x-qualcomm-snapdragon-x-elite-32-gb-1-tb-ssd-windows-11-home-14q8x9-thin-light-laptop/p/itm40b32c61775a9?pid=COMH383DSGGNTHH6&lid=LSTCOMH383DSGGNTHH6CKN3XA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_30_716&otracker=browse&fm=organic&iid=5c12fca9-0816-493d-ae0b-ee6b0925247f.COMH383DSGGNTHH6.SEARCH&ppt=None&ppn=None&ssid=5b917n99a80000001730660379387,,,36.83 cm (14.5 Inch),325 x 225.15 x 12.9 mm,Max Turbo up to 3.4GHz,Not Available,,,,,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,X1E-78-100,Yoga Slim 7x,2024-11-04 17:08:25,,83ED003BIN,,,,,,1 TB,,,,"Wi-Fi 7, 802.11be 2x2",Qualcomm Adreno Adreno,,Yes,2944 x 1840 Pixel,1.28 Kg,Yes,Snapdragon X Elite,v5.4,"₹1,47,190",,,,1 Year Onsite Warranty,,(38),,Physical Damage,4.2,Thin and Light Laptop,Windows 11 Home,"Lenovo Yoga Slim 7x Qualcomm Snapdragon X Elite - (32 GB/1 TB SSD/Windows 11 Home) 14Q8X9 Thin and Light Laptop  (14.5 Inch, Cosmic Blue, 1.28 Kg, With MS Office)",,,,32 GB,SSD,Onsite,Yes,,Qualcomm,"Backlit, English",Manufacturing Defects,"3K, OLED 1000nits (Peak) / 500nits (Typical), Glossy / Anti-fingerprint, 100% DCI-P3, 100% sRGB, 90Hz, Eyesafe, Dolby Vision, DisplayHDR True Black 600, Glass, Touch",,,,,Yes,,,,,,,,,Processing & Multitasking,,LPDDR5X,14Q8X9,Cosmic Blue,,,,,,Full HD 1080p (2.0MP) + IR with E-shutter
