key_specs.graphics,general.product_name,processor.number_of_cpu_cores,features.casing_material,graphics.unlocked_gpu,memory.expandable_memory_compatibility,graphics.gpu_boost_clock_frequency,connectivity.usb_ports,key_specs.battery_type,memory.type_of_memory_(ram),camera.front_facing_camera_megapixels,connectivity.number_of_usb-c_charging_ports,power.battery_type,connectivity.ethernet_card,certifications_&_listings.epeat_qualified,general.model_family,key_specs.battery_life_(up_to),key_specs.works_with,general.year_of_release,storage.hard_drive_interface,processor.l1_cache,dimension.product_height,camera.front_facing_camera_video_resolution,camera.rear_facing_camera_megapixels,connectivity.network_connectivity,connectivity.compatible_wireless_standard(s),storage.emmc_capacity,dimensions.product_width,camera.rear_facing_camera_video_resolution,connectivity.display_connector(s),connectivity.number_of_usb_ports_(total),included.optical_drive_type,storage.hard_drive_rpm,connectivity.bluetooth_version,cooling.cpu_cooling_system,display.refresh_rate,compatibility.operating_system_compatibility,camera.built-in_microphone,memory.number_of_memory_sticks_included,graphics.number_of_gpu_cores,connectivity.number_of_hdmi_outputs_(total),key_specs.refresh_rate,features.touchpad_type,features.speaker_type,storage.hard_drive_capacity,key_specs.screen_resolution,graphics.graphics_type,dimensions.product_weight,key_specs.backlit_keyboard,included.included_software,features.media_card_slot,display.high_dynamic_range_(hdr),power.power_supply_input,processor.neural_processing_unit_(npu),display.display_surface,display.color_gamut_(ntsc),connectivity.headphone_jack,general.model_number,storage.total_storage_capacity,connectivity.wireless_connectivity,other.upc,power.charging_interface(s),graphics.graphics,dimension.product_weight,graphics.gpu_video_memory_type_(ram),warranty.manufacturer's_warranty_-_labor,processor.l3_cache,rating_average,connectivity.wireless_standard,dimension.product_width,features.backlit_keyboard,display.screen_type,features.media_card_reader,cooling.number_of_cpu_cooling_fans,storage.solid_state_drive_capacity,key_specs.screen_type,connectivity.number_of_displayport_outputs_(total),display.screen_size,display.screen_resolution,graphics.gpu_base_clock_frequency,key_specs.screen_size,warranty.manufacturer's_warranty_-_parts,features.keyboard_technology,review_count,connectivity.number_of_vga_ports,camera.rear-facing_camera,power.power_supply_maximum_wattage,key_specs.brightness,connectivity.gps_enabled,dimensions.product_height,features.customizable_case_lighting,key_specs.voice_assistant_built-in,certifications_&_listings.energy_star_certified,storage.solid_state_drive_interface,in_stock,key_specs.2-in-1_design,dimensions.product_depth,processor.unlocked_processor,graphics.advanced_graphics_rendering_technique(s),compatibility.operating_system_architecture,key_specs.touch_screen,certifications_&_listings.epeat_level,key_specs.cpu_base_clock_frequency,camera.front-facing_camera,features.mac_features,price,memory.number_of_memory_slots,included.stylus_included,connectivity.data_plan_required,key_specs.total_storage_capacity,features.security_features,display.display_type,processor.processor_brand,display.touch_screen,display.stylus_input,connectivity.number_of_usb_type_c_charging_ports,features.customizable_keyboard_lighting,graphics.gpu_video_memory_(ram),power.battery_capacity,memory.system_memory_ram_expandable_to,features.cable_lock_slot,features.windows_ai,processor.cpu_base_clock_frequency,features.keyboard_included,display.brightness,processor.cpu_cache_memory_level,cooling.number_of_gpu_cooling_fans,memory.system_memory_ram_speed,connectivity.interface(s),key_specs.system_memory_(ram),key_specs.storage_type,key_specs.display_connector(s),processor.maximum_npu_performance,storage.hard_drive_accelerator,"expansion.number_of_internal_2.5""_bays",general.color_category,compatibility.works_with,connectivity.number_of_thunderbolt_ports_(total),url,processor.processor_model_number,timestamp,key_specs.wireless_connectivity,display.color_gamut_(standard_rgb),processor.processor_model,connectivity.number_of_usb-a_charging_ports,key_specs.security_features,features.2-in-1_design,features.windows_features,compatibility.voice_assistant_built-in,connectivity.microphone_input,connectivity.displayport_over_usb-c,memory.system_memory_(ram),power.battery_cells,power.battery_life_(up_to),key_specs.processor_model,features.chrome_features,general.color,storage.storage_type,compatibility.operating_system,graphics.gpu_brand,included.numeric_keypad,features.gps_enabled,expansion.number_of_m.2_slots,general.brand,dimension.product_depth,processor.l2_cache,features.audio_technology,processor.cpu_boost_clock_frequency,connectivity.wireless_networking_standard,features.foldable_screen,features.stylus_dock,key_specs.operating_system,processor.number_of_cpu_threads,display.synchronization_technology,cooling.gpu_cooling_system,connectivity.number_of_ethernet_ports,product_title
Intel HD Graphics 620,"Latitude 15.6"" Refurbished Laptop - Intel Core i5 - 16GB Memory - 512GB Solid State Drive",2-core (dual-core),,,,,"2 x USB-A 3.1, 1 x USB-C 3.1",Lithium-ion,DDR4,,,Lithium-ion,10/100/1000,Yes,,,,2020,,,,,,,,,14.8 inches,,1 x VGA,3,None,,,Air,,,,,,1,,,Stereo speakers,,1920 x 1080 (Full HD),Integrated,4.14 pounds,Yes,,,,,,,,Yes,5590-32764,512 gigabytes,Wi-Fi,825633523579,,Intel HD Graphics 620,,,364 days,,4.3,N,,Yes,,No,,512 gigabytes,,,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,364 days,,(23 Reviews),,,,,,0.9 inches,,,Yes,,yes,No,9.9 inches,,,64-bit,No,Gold,2.6 gigahertz,Yes,,$481.99Your price for this item is $481.99,,,,512 gigabytes,,LED,Intel,No,,,,,,,,,2.6 gigahertz,,,,,,,16 gigabytes,SSD,1 x VGA,,,,Black,,,https://www.bestbuy.com/site/dell-latitude-15-6-refurbished-laptop-intel-core-i5-16gb-memory-512gb-solid-state-drive-black/6440538.p?skuId=6440538,7300U,2024-11-02 20:52:03,,,Intel 7th Generation Core i5,,,No,,,,,16 gigabytes,3-cell,,Intel 7th Generation Core i5,,Black,SSD,Windows 10 Pro,Intel,Yes,,,Dell,,,,3.5 gigahertz,Wi-Fi 4,,,,4,,,1,"Dell - Latitude 15.6"" Refurbished Laptop - Intel Core i5 - 16GB Memory - 512GB Solid State Drive - Black"
AMD Radeon Pro 5300M,"Apple MacBook Pro 16"" Certified Refurbished - Intel Core i7 2.6GHz - Touch Bar/ID - 16GB Memory - 512GB SSD (2019)",6-core,Aluminum,,,,4 x USB-C 3.1,Lithium-polymer,DDR4,,,Lithium-polymer,,Yes,,11 hours,,2019,,,,720p,,,,,14.1 inches,,4 x Thunderbolt 3,4,None,,,Air,,,Yes,,,,,Multi-touch,High-fidelity six-speaker system with force-cancelling woofers,,3072 x 1920 (Retina),Dedicated,4.6 pounds,Yes,,,,,,,,No,MVVJ2LL/A,512 gigabytes,Wi-Fi,698769380688,,AMD Radeon Pro 5300M,,,1 year,,4.2,AC,,Yes,STN,,,512 gigabytes,STN,,16 inches,3072 x 1920 (Retina),,16 inches,1 year,,(95 Reviews),,,96 watts,,,0.64 inches,,,No,,yes,,9.68 inches,,,,No,Gold,2.6 gigahertz,Yes,"Siri, Touch ID sensor, Force touch trackpad",$789.99Your price for this item is $789.99,,No,,512 gigabytes,Fingerprint reader,LED,Intel,No,,,,4 gigabytes,,,,,2.6 gigahertz,,,,,2666 megahertz,,16 gigabytes,SSD,4 x Thunderbolt 3,,,,Space Gray,,4,https://www.bestbuy.com/site/apple-macbook-pro-16-certified-refurbished-intel-core-i7-2-6ghz-touch-bar-id-16gb-memory-512gb-ssd-2019-space-gray/6471145.p?skuId=6471145,Not provided,2024-11-02 20:52:08,,,Intel 9th Generation Core i7,,,,,Siri,,,16 gigabytes,,11 hours,Intel 9th Generation Core i7,,Space Gray,SSD,Mac OS,AMD Radeon,,,,Apple,,,Wide stereo sound,,Wi-Fi 5,,,,,,,,"Apple MacBook Pro 16"" Certified Refurbished - Intel Core i7 2.6GHz - Touch Bar/ID - 16GB Memory - 512GB SSD (2019) - Space Gray"
AMD Radeon,"Vivobook S 16"" Laptop OLED - AMD Ryzen 9 8945HS with 16GB Memory - 1TB SSD",8-core,Aluminum,,,,"2 x USB-A 3.2, 1 x USB-C 3.2, 1 x USB-C 4",Lithium-ion,LPDDR5X,,,Lithium-ion,,No,,,,2024,,,,1080p,,,,,13.92 inches,,"1 x HDMI 2.1, Display connection via USB port",4,,,,,120Hz,,Yes,,,1,120Hz,Precision,,,3200 x 2000,Integrated,3.31 pounds,Yes,MyASUS,microSD,,,Yes,,,Yes,M5606UA-DS96,1000 gigabytes,"Wi-Fi, Bluetooth",197105400740,,AMD Radeon,,,1 year,,3.3,AX,,Yes,,Yes,,1000 gigabytes,,,16 inches,3200 x 2000,,16 inches,1 year,,(6 Reviews),,,90 watts,400 nits,,0.55 inches,,,Yes,PCIe 4.0,yes,No,9.72 inches,,,64-bit,No,,4 gigahertz,Yes,,$999.99Your price for this item is $999.99,,No,,1000 gigabytes,Privacy camera,OLED,AMD,No,,,Yes,,,,,,4 gigahertz,,400 nits,,,,,16 gigabytes,SSD,"1 x HDMI 2.1, Display connection via USB port",16 trillions operations per second,,,Black,,,https://www.bestbuy.com/site/asus-vivobook-s-16-laptop-oled-amd-ryzen-9-8945hs-with-16gb-memory-1tb-ssd-neutral-black/6581899.p?skuId=6581899,Ryzen 9 8945HS,2024-11-02 20:52:13,,,AMD Ryzen 9 8000 Series,,,No,,,Yes,,16 gigabytes,4-cell,,AMD Ryzen 9 8000 Series,,Neutral Black,SSD,Windows 11 Home,AMD Radeon,Yes,,,ASUS,,,Smart Amp Technology,5.2 gigahertz,Wi-Fi 6E,,,,16,,,,"ASUS - Vivobook S 16"" Laptop OLED - AMD Ryzen 9 8945HS with 16GB Memory - 1TB SSD - Neutral Black"
NVIDIA GeForce RTX 4090,"Raider GE68 HX 16"" 120 Hz Gaming Laptop - Intel Core i9-14900HX with 64GB Memory - NVIDIA GeForce RTX 4090 - 2TB SSD",24-core,,,,,"2 x USB-A 3.2, 2 x USB-C 3.2",Lithium-ion,DDR5 SDRAM,,1,Lithium-ion,,No,,,,2023,,,,,,None,,,15 inches,,"1 x Thunderbolt 4, 1 x HDMI 2.1",4,None,,,Air,120Hz,,Yes,,,1,120Hz,,Dynaudio Speakers 2W*2 + 2W*2 woofer,,3840 x 2160 (4K),Dedicated,6.06 pounds,Yes,,Secure Digital,,,,,,Yes,RAIDERGE6814285,2000 gigabytes,"Bluetooth, Wi-Fi",824142343289,,NVIDIA GeForce RTX 4090,,GDDR6,1 year limited,36 megabytes,,,,Yes,,Yes,2,2000 gigabytes,,,16 inches,3840 x 2160 (4K),,16 inches,1 year limited,,Be the first to write a review,0,,330 watts,,,1 9/100 inches,,,Yes,,yes,No,11 7/10 inches,No,,,No,,1.6 gigahertz,Yes,,"$3,999.99Your price for this item is $3,999.99",,No,,2000 gigabytes,Cable lock slot,LED,Intel,No,,,Yes,16 gigabytes,,,Kensington Security Slot (K-Slot),,1.6 gigahertz,,,L3,2,5600 megahertz,,64 gigabytes,SSD,"1 x Thunderbolt 4, 1 x HDMI 2.1",,,,Black,,1,https://www.bestbuy.com/site/msi-raider-ge68-hx-16-120-hz-gaming-laptop-intel-core-i9-14900hx-with-64gb-memory-nvidia-geforce-rtx-4090-2tb-ssd-black/6571745.p?skuId=6571745,14900HX,2024-11-02 20:52:19,,,Intel Core i9 14th Generation,,,No,,No,Yes,,64 gigabytes,4-cell,,Intel Core i9 14th Generation,,Black,SSD,Windows 11 Home,NVIDIA,Yes,No,,MSI,,,,5.8 gigahertz,Wi-Fi 7,No,,,32,,Air,1,"MSI - Raider GE68 HX 16"" 120 Hz Gaming Laptop - Intel Core i9-14900HX with 64GB Memory - NVIDIA GeForce RTX 4090 - 2TB SSD - Black"
Intel Iris Xe Graphics,"15.6"" Laptop - Intel Core i5 with 16GB Memory - 256GB SSD",10-core,,,,,"1 x USB-C, 2 x USB-A",Lithium-ion,DDR4,0.92 megapixels,,Lithium-ion,,Yes,,,,2023,,,,720p,,,,,,,1 x HDMI,3,None,,,Air,,,,,,1,,,,,1280 x 720,Integrated,3.52 pounds,No,,,,,,,,,15-FD0185NR,256 gigabytes,Wi-Fi,198122600038,,Intel Iris Xe Graphics,,,2 years,,4.8,,,No,,,,256 gigabytes,,,15.6 inches,1280 x 720,,15.6 inches,2 years,,(6 Reviews),,,,,,9.29 inches,,,Yes,NVMe,yes,,9.29 inches,,,64-bit,No,Gold,1.3 gigahertz,Yes,,$599.99Your price for this item is $599.99,2,,,256 gigabytes,,,Intel,No,,,,,,,,,1.3 gigahertz,,,,,,,16 gigabytes,SSD,1 x HDMI,,,,Silver,,,https://www.bestbuy.com/site/hp-15-6-laptop-intel-core-i5-with-16gb-memory-256gb-ssd-silver/6587507.p?skuId=6587507,1235U,2024-11-02 20:52:23,,,Intel 12th Generation Core i5,,,,,,,,16 gigabytes,,,Intel 12th Generation Core i5,,Silver,SSD,Windows 11 Pro,Intel,,,,HP,,,,4.4 gigahertz,,,,,12,,,,"HP - 15.6"" Laptop - Intel Core i5 with 16GB Memory - 256GB SSD - Silver"
Intel Iris Xe Graphics,"ThinkPad X1 Yoga Gen 8 2-in-1 14"" Touch-Screen Laptop - Intel Core i7 with 16GB Memory - 512GB SSD",10-core,,,,,,Lithium-ion polymer,LPDDR5,,,Lithium-ion polymer,,Yes,,13.4 hours,,2023,,,,,,,,,0.61 inches,,"1 x HDMI 2.1, 2 x Thunderbolt 4, 2 x Thunderbolt",,,,,,60kHz,,Yes,,,1,60kHz,,,,1920 x 1200 (WUXGA),Integrated,3.4 pounds,Yes,,,,,,,,Yes,21HQ000BUS,512 gigabytes,"Bluetooth, Wi-Fi",196804152615,,Intel Iris Xe Graphics,,,3,,5.0,,,Yes,IPS,,,512 gigabytes,IPS,,14 inches,1920 x 1200 (WUXGA),,14 inches,3,,(2 Reviews),,,,400 nits,,12.38 inches,,,Yes,,yes,Yes,8.75 inches,,,,Yes,Gold,1.3 gigahertz,Yes,,"$2,049.99Your price for this item is $2,049.99",,,,512 gigabytes,,,Intel,Yes,,,,,,,,Copilot,1.3 gigahertz,,400 nits,,,,,16 gigabytes,SSD,"1 x HDMI 2.1, 2 x Thunderbolt 4, 2 x Thunderbolt",,,,Gray,Amazon Alexa,,https://www.bestbuy.com/site/lenovo-thinkpad-x1-yoga-gen-8-2-in-1-14-touch-screen-laptop-intel-core-i7-with-16gb-memory-512gb-ssd-gray/6549716.p?skuId=6549716,1365U,2024-11-02 20:52:29,,100 percent,Intel 13th Generation Core i7,,,Yes,,No,Yes,,16 gigabytes,,13.4 hours,Intel 13th Generation Core i7,,Gray,SSD,Windows 11 Pro,Intel,,,,Lenovo,,,,5.2 gigahertz,,,,,12,,,,"Lenovo - ThinkPad X1 Yoga Gen 8 2-in-1 14"" Touch-Screen Laptop - Intel Core i7 with 16GB Memory - 512GB SSD - Gray"
NVIDIA GeForce RTX 4090,ROG Strix SCAR 18” 240Hz Gaming Laptop QHD - Intel 14th Gen Core i9 with 32GB Memory - NVIDIA GeForce RTX 4090 - 2TB SSD,24-core,,,,,"2 x USB-A 3.2, 1 x USB-C 3.2",Lithium-ion,DDR5,,,Lithium-ion,10/100/1000/2500,No,,,,2024,,,,720p,,,,,15.71 inches,,"1 x HDMI 2.1, 1 x Thunderbolt 4",3,,,,,240Hz,,Yes,2,,1,240Hz,,,,2560 x 1600,Dedicated,6.83 pounds,Yes,,,,,No,,,Yes,G834JYR-XS97,2000 gigabytes,"Wi-Fi, Bluetooth",197105348943,,NVIDIA GeForce RTX 4090,,GDDR6,1 year,,4.2,,,Yes,,,,2000 gigabytes,,2,18 inches,2560 x 1600,,18 inches,1 year,,(16 Reviews),,,330 watts,1100 nits,,0.91 inches,Yes,,Yes,PCIe 4.0,yes,,11.57 inches,,"DLSS 3 (Deep Learning Super Sampling), Ray tracing",,No,,2.2 gigahertz,Yes,,"$3,666.99Your price for this item is $3,666.99",2,,,2000 gigabytes,,,Intel,No,,,RGB,16 gigabytes,,64 gigabytes,,,2.2 gigahertz,,1100 nits,,,5600 megahertz,,32 gigabytes,SSD,"1 x HDMI 2.1, 1 x Thunderbolt 4",,,,Black,,1,https://www.bestbuy.com/site/asus-rog-strix-scar-18-240hz-gaming-laptop-qhd-intel-14th-gen-core-i9-with-32gb-memory-nvidia-geforce-rtx-4090-2tb-ssd-off-black/6572157.p?skuId=6572157,14900HX,2024-11-02 20:52:34,,,Intel Core i9 14th Generation,,,,,,Yes,,32 gigabytes,4-cell,,Intel Core i9 14th Generation,,Off Black,SSD,Windows 11 Pro,NVIDIA,,,2,ASUS,,,,5.8 gigahertz,,,,,32,,,1,ASUS - ROG Strix SCAR 18” 240Hz Gaming Laptop QHD - Intel 14th Gen Core i9 with 32GB Memory - NVIDIA GeForce RTX 4090 - 2TB SSD - Off Black
AMD Radeon,"ThinkPad E16 Gen 1 16"" Laptop - AMD Ryzen 7 with 16GB memory - 512GB SSD",8-core,,,,,"2 x USB-A 3.2, 2 x USB-C 3.2",Lithium-ion polymer,DDR4 SoDIMM,,,Lithium-ion polymer,,Yes,,14.45 hours,,2023,,,,,,,,,14.02 inches,,1 x HDMI 1.4,4,,,,,60Hz,,Yes,,,1,60Hz,,,,1920 x 1200 (WUXGA),Integrated,4.34 pounds,Yes,,,,,,,,Yes,21JT001QUS,512 gigabytes,"Bluetooth, Wi-Fi",197528340647,,AMD Radeon,,,1 year,16 megabytes,5.0,,,Yes,IPS,,,512 gigabytes,IPS,,16 inches,1920 x 1200 (WUXGA),,16 inches,1 year,,(6 Reviews),,,,300 nits,,0.78 inches,,,Yes,,No,No,9.75 inches,No,,,No,Gold,2 gigahertz,Yes,,$919.99Your price for this item is $919.99,,,,512 gigabytes,,,AMD,No,,,,,,,,Copilot,2 gigahertz,,300 nits,"L2, L3",,,,16 gigabytes,SSD,1 x HDMI 1.4,,,,Black,Amazon Alexa,,https://www.bestbuy.com/site/lenovo-thinkpad-e16-gen-1-16-laptop-amd-ryzen-7-with-16gb-memory-512gb-ssd-black/6559397.p?skuId=6559397,7730U,2024-11-02 20:52:39,,,AMD Ryzen 7 7000 Series,,,No,,No,Yes,,16 gigabytes,,14.45 hours,AMD Ryzen 7 7000 Series,,Black,SSD,Windows 11 Pro,AMD Radeon,,,,Lenovo,,4 megabytes,,4.5 gigahertz,,,,,16,,,,"Lenovo - ThinkPad E16 Gen 1 16"" Laptop - AMD Ryzen 7 with 16GB memory - 512GB SSD - Black"
Intel Iris Plus Graphics 640,"Apple MacBook Pro 13"" Pre-Owned - Intel Core i5 2.3GHz - 8GB Memory - 128GB SSD (2017)",,Aluminum,,,,2 x USB-A,Lithium-polymer,LPDDR3,,,Lithium-polymer,,Yes,,,,2017,,,,,,,,,11.97 inches,,1 x Thunderbolt 3,2,None,,,Air,,,,,,0,,Multi-touch,Stereo speakers,,2560 x 1600,Integrated,3.02 pounds,Yes,,,,,,,,Yes,MPXQ2LL/A,128 gigabytes,"Bluetooth, Wi-Fi",698769160525,,Intel Iris Plus Graphics 640,,,1 year,,3.7,N,,Yes,Retina Display,Yes,,128 gigabytes,Retina Display,0,13 inches,2560 x 1600,,13 inches,1 year,,(28 Reviews),,,,,,,,,Yes,,No,,8.36 inches,,,,No,Gold,,Yes,,$349.99Your price for this item is $349.99,,No,,128 gigabytes,,,Intel,No,,,,,,,,,,,,,,,,8 gigabytes,SSD,1 x Thunderbolt 3,,,,Space Gray,,1,https://www.bestbuy.com/site/apple-macbook-pro-13-pre-owned-intel-core-i5-2-3ghz-8gb-memory-128gb-ssd-2017-space-gray/6461245.p?skuId=6461245,Not provided,2024-11-02 20:52:44,,,Intel 7th Generation Core i5,,,,,Siri,,,8 gigabytes,,,Intel 7th Generation Core i5,,Space Gray,SSD,Mac OS,Intel,,,,Apple,,,,,Wi-Fi 4,,,,,,,,"Apple MacBook Pro 13"" Pre-Owned - Intel Core i5 2.3GHz - 8GB Memory - 128GB SSD (2017) - Space Gray"
NVIDIA GeForce RTX 4060,"OMEN Transcend 16"" WUXGA Gaming Laptop - Intel Core i7-13700HX - 16GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD",16-core,,,,,2 x USB-A,Lithium-ion polymer,DDR5,2 megapixels,,Lithium-ion polymer,,Yes,,11.5 hours,,2023,,,,1080p,,,,,14.04 inches,,"2 x Thunderbolt 4, 1 x HDMI 2.1",2,,,,,165Hz,,Yes,,,1,165Hz,,,,1920 x 1200 (WUXGA),Dedicated,4.79 pounds,Yes,"myHP,HP Support Assistant,HP BIOS Protection,Dropbox cloud storage,McAfee LiveSafe,HP Connection Optimizer,HP QuickDrop,AI Noise Removal,DTS: X Ultra Technology,OMEN Gaming Hub",,,,,,,Yes,16-U0010NR,1024 gigabytes,"Wi-Fi, Bluetooth",197192434949,,NVIDIA GeForce RTX 4060,,GDDR6,1-year limited hardware warranty,,4.4,,,Yes,IPS,,,1024 gigabytes,IPS,,16 inches,1920 x 1200 (WUXGA),,16 inches,1-year limited hardware warranty,,(33 Reviews on hp.com),,,230 watts,400 nits,,0.78 inches,,,Yes,PCIe,yes,,10.59 inches,,,,No,Silver,,Yes,,"$1,661.99Your price for this item is $1,661.99",2,,,1024 gigabytes,Privacy camera,,Intel,No,,,,8 gigabytes,,,,,,,400 nits,,,4800 megahertz,,16 gigabytes,SSD,"2 x Thunderbolt 4, 1 x HDMI 2.1",,,,Black,,2,https://www.bestbuy.com/site/hp-omen-transcend-16-wuxga-gaming-laptop-intel-core-i7-13700hx-16gb-memory-nvidia-geforce-rtx-4060-1tb-ssd-shadow-black/6600312.p?skuId=6600312,13700HX,2024-11-02 20:52:50,,100 percent,Intel 13th Generation Core i7,,,,,,Yes,,16 gigabytes,4-cell,11.5 hours,Intel 13th Generation Core i7,,Shadow Black,SSD,Windows 11 Home,NVIDIA,No,,,HP,,,Audio by Bang & Olufsen with dual speakers,5 gigahertz,Wi-Fi 6E,,,,24,,,,"HP - OMEN Transcend 16"" WUXGA Gaming Laptop - Intel Core i7-13700HX - 16GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD - Shadow Black"
NVIDIA GeForce RTX 4060,"ROG Zephyrus G16 - 16"" OLED 240Hz Gaming Laptop - Copilot+ PC - AMD Ryzen AI 9 HX - 16GB Memory - NVIDIA RTX 4060 - 1TB",12-core,,,,,"1 x USB-C 4, 1 x USB-C 3.2, 2 x USB-A 3.2",Lithium-ion,LPDDR5X,,,Lithium-ion,,No,,,,2024,,,,1080p,,None,,,9.69 inches,,1 x HDMI 2.1,4,,,,Air,240Hz,,Yes,,,1,240Hz,,,,2560 x 1600,Dedicated,4.08 pounds,Yes,Armoury Crate,,,,Yes,,,Yes,GA605WV-G16.R94060,1000 gigabytes,"Wi-Fi, Bluetooth",197105627918,,NVIDIA GeForce RTX 4060,,,1 year,,1.4,BE,,Yes,AMOLED,,,1000 gigabytes,AMOLED,,16 inches,2560 x 1600,,16 inches,1 year,,(5 Reviews),,,200 watts,,,0.59 inches,Yes,,No,PCIe 4.0,yes,No,13.94 inches,,"DLSS 3 (Deep Learning Super Sampling), Ray tracing",,No,,2 gigahertz,Yes,,"$1,899.99Your price for this item is $1,899.99",,,,1000 gigabytes,Facial recognition,OLED,AMD,No,,,RGB,,,,,Copilot+ PC,2 gigahertz,,,,,7500 megahertz,,16 gigabytes,SSD,1 x HDMI 2.1,50 trillions operations per second,,,White,,,https://www.bestbuy.com/site/asus-rog-zephyrus-g16-16-oled-240hz-gaming-laptop-copilot-pc-amd-ryzen-ai-9-hx-16gb-memory-nvidia-rtx-4060-1tb-platinum-white/6583375.p?skuId=6583375,Ryzen AI 9 HX 370,2024-11-02 20:52:54,,,AMD Ryzen AI 300 Series,,,No,,,Yes,,16 gigabytes,4-cell,,AMD Ryzen AI 300 Series,,Platinum White,SSD,Windows 11 Home,NVIDIA,No,No,,ASUS,,,Smart Amplifier Technology,5.1 gigahertz,Wi-Fi 7,No,,,,,,,"ASUS - ROG Zephyrus G16 - 16"" OLED 240Hz Gaming Laptop - Copilot+ PC - AMD Ryzen AI 9 HX - 16GB Memory - NVIDIA RTX 4060 - 1TB - Platinum White"
NVIDIA GeForce RTX 4060,ROG Strix G16 16” 240Hz Gaming Laptop QHD - Intel Core i9-14900HX with 16GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD,24-core,,,,,"1 x USB-C 3.2, 2 x USB-A 3.2",Lithium-ion,DDR5,,,Lithium-ion,10/100/1000,No,,,,2024,,,,720p,,None,,,,,"1 x HDMI 2.1, 1 x Thunderbolt 4",3,,,,Air,240Hz,,Yes,,,1,240Hz,,,,2560 x 1600,Dedicated,5.51 pounds,Yes,,,,,No,,,Yes,G614JVR-ES94,1000 gigabytes,"Wi-Fi, Bluetooth",197105374485,,NVIDIA GeForce RTX 4060,,GDDR6,1 yr,,4.7,AX,,Yes,,,,1000 gigabytes,,2,16 inches,2560 x 1600,,16 inches,1 Yr,,(13 Reviews),,,,500 nits,,,,,Yes,PCIe 4.0,yes,,,,"DLSS 3 (Deep Learning Super Sampling), Ray tracing",,No,,2.2 gigahertz,Yes,,"$1,699.99Your price for this item is $1,699.99",2,,,1000 gigabytes,,LED,Intel,No,,,Yes,8 gigabytes,,32 gigabytes,,,2.2 gigahertz,,500 nits,,,5600 megahertz,,16 gigabytes,SSD,"1 x HDMI 2.1, 1 x Thunderbolt 4",,,,Gray,,1,https://www.bestbuy.com/site/asus-rog-strix-g16-16-240hz-gaming-laptop-qhd-intel-core-i9-14900hx-with-16gb-memory-nvidia-geforce-rtx-4060-1tb-ssd-eclipse-gray/6572161.p?skuId=6572161,i9-14900HX,2024-11-02 20:52:59,,,Intel Core i9 14th Generation,,,,,,Yes,,16 gigabytes,4-cell,,Intel Core i9 14th Generation,,Eclipse Gray,SSD,Windows 11 Home,NVIDIA,No,,,ASUS,,,"AI noise-canceling technology, Dolby Atmos, Hi-Res certification, Smart Amp Technology",5.8 gigahertz,Wi-Fi 6E,,,,32,,,1,ASUS - ROG Strix G16 16” 240Hz Gaming Laptop QHD - Intel Core i9-14900HX with 16GB Memory - NVIDIA GeForce RTX 4060 - 1TB SSD - Eclipse Gray
NVIDIA GeForce RTX 4080,"Vector GP68HX 16"" 144Hz FHD+ Gaming Laptop-intel core i9-13950HX with 16GB Memory-RTX 4080-1TB SSD",,,,,,"2 x USB-C 3.2, 2 x USB-A 3.2",Lithium-ion,DDR5,,,Lithium-ion,,No,,90 hours,,2023,,,,720p,,,,,14.06 inches,,1 x HDMI 2.1,5,,,,Air,144Hz,,Yes,2,,1,144Hz,,,,1920 x 1200 (Full HD+),Dedicated,5.89 pounds,Yes,,,,,,,45 percent,Yes,Vector GP68HX 13VH-256US,1000 gigabytes,"Bluetooth, Wi-Fi",824142338100,,NVIDIA GeForce RTX 4080,,,1 year,,4.5,,,Yes,IPS,,,1000 gigabytes,IPS,,16 inches,1920 x 1200 (Full HD+),,16 inches,1 year,,(4 Reviews),,,330 watts,,,1.12 inches,,,Yes,NVMe,yes,,11.18 inches,,"DLSS 3 (Deep Learning Super Sampling), Ray tracing",,No,,,Yes,,"$1,889.99Your price for this item is $1,889.99",2,,,1000 gigabytes,,LED,Intel,No,,,RGB,,,64 gigabytes,,,,,,,,4800 megahertz,,16 gigabytes,SSD,1 x HDMI 2.1,,,,,,1,https://www.bestbuy.com/site/msi-vector-gp68hx-16-144hz-fhd-gaming-laptop-intel-core-i9-13950hx-with-16gb-memory-rtx-4080-1tb-ssd/6559431.p?skuId=6559431,13950HX,2024-11-02 20:53:05,,,Intel 13th Generation Core i9,,,,,,Yes,,16 gigabytes,4-cell,90 hours,Intel 13th Generation Core i9,,,SSD,Windows 11 Home,NVIDIA,No,,2,MSI,,,,,,,,,,,Air,1,"MSI - Vector GP68HX 16"" 144Hz FHD+ Gaming Laptop-intel core i9-13950HX with 16GB Memory-RTX 4080-1TB SSD"
