Laptop_Brand,Laptop_Name,Processor_Company,Operating_System,Processor,Number_of_Reviews,Price,Storage_Type,Storage,Rating,Screen_Size,RAM,Source
Apple,MacBook Pro,Intel,Mac OS,Core i5,220.0,369.0,SSD,256,4.3,13.3,8,Amazon
ASUS,Zephyrus Duo,AMD,Windows 11 Pro,Ryzen 9,41.0,3760.99,SSD,4096,3.4,16.0,32,Amazon
Dell,Dell 11 Chromebook,Intel,Chrome OS,Celeron,3.0,98.99,SSD,32,4.5,11.0,4,Amazon
HP,"2024 Newest HP 14"" Chromebook",Intel,Chrome OS,Celeron N,23.0,217.08,EMMC,64,4.5,14.0,4,Amazon
Lenovo,ThinkPad L13 Yoga Laptop,Intel,Windows 10 Pro,Intel Core i5,33.0,404.97,SSD,512,4.2,13.3,16,Amazon
KOOFORWAY,P8,Intel,Windows 11 Pro,Others,73.0,469.0,SSD,2048,4.4,8.0,12,Amazon
HP,Notebook,Intel,Windows 11 Home,Core i5 Family,37.0,520.0,SSD,2048,4.4,15.6,32,Amazon
HP,HP,Intel,Windows 11 Home,Core i5-1235U,12.0,499.99,SSD,2048,4.4,15.6,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21.0,529.0,SSD,512,4.4,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,24.0,849.0,SSD,2048,4.3,15.6,16,Amazon
Lenovo,ThinkBook 16 G4+ IAP,Intel,Windows 11 Pro,Intel Mobile CPU,1.0,1159.0,SSD,4096,4.4,16.0,64,Amazon
Razer,Blade 18,Intel,Windows 11 Home,Intel Core i9,7.0,3899.99,SSD,8192,4.3,18.0,32,Amazon
HP,Notebook,Intel,Windows 11 Home,Core i5 Family,19.0,454.0,SSD,512,4.4,15.6,16,Amazon
Lenovo,IdeaPad 3 15IAU7,Intel,Windows 11 Home,Core i5 Family,2.0,819.95,SSD,2048,5.0,15.6,40,Amazon
ist computers,ProBook 450 G10,Intel,Windows 11 Pro,Intel Core i7,2.0,949.98,SSD,2048,4.3,15.6,32,Amazon
Dell,7490,Intel,Windows 10 Pro,Core i7-8650U,90.0,402.0,SSD,1000,4.5,14.0,32,Amazon
Apple,MacBook Pro,Intel,macOS 10.13 High Sierra,Core i5,816.0,339.97,SSD,256,4.3,13.3,8,Amazon
Apple,MacBook Pro,Intel,Mac OS X 10.0 Cheetah,Core i9,103.0,589.6,SSD,2048,4.4,16.0,16,Amazon
Lenovo,82XQ006RUS,AMD,Windows 11 Home,AMD Ryzen 5 3450U,30.0,485.0,SSD,256,4.4,15.6,8,Amazon
Lenovo,ThinkBook 15 G3 ACL,Intel,Windows 11 Pro,Core i7 Family,7.0,720.0,SSD,2048,4.5,15.6,40,Amazon
HP,HP Stream,Intel,Windows 11 S,Pentium,21.0,349.0,EMMC,2048,4.5,14.0,16,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5.0,1169.0,SSD,2048,4.4,16.0,64,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,2.0,729.0,SSD,8192,5.0,14.0,64,Amazon
Oemgenuine,ThinkPad E15 Gen 2,AMD,Windows 10 Pro,Ryzen 5 4500U,2.0,829.95,SSD,512,4.4,15.6,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1.0,119.99,EMMC,64,4.5,10.1,2,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,1.0,729.0,SSD,4096,1.0,14.0,64,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2.0,399.99,SSD,2048,4.5,16.0,16,Amazon
HP,HP Chromebook,Intel,Chrome OS,Celeron N,41.0,182.0,EMMC,128,4.4,14.0,4,Amazon
HP,EliteBook 840 G10,Intel,Windows 11 Pro,Core i5,0.0,759.77,SSD,512,4.5,14.0,16,Amazon
Panasonic,CF53RL1A,Intel,Windows 10 Pro,Core i5-2520M,239.0,448.99,SSD,2048,4.5,14.0,16,Amazon
Lenovo,Lenovo ThinkPad E15 Gen 2,AMD,Windows 10 Pro,Ryzen 5 4500U,5.0,380.0,SSD,512,4.3,15.6,16,Amazon
HP,HP,Intel,Windows 10 Pro,Core i3 Family,96.0,547.9,SSD,2048,4.4,17.3,32,Amazon
Apple,MacBook Pro,Intel,macOS 10.15 Catalina,Core i5,220.0,438.97,SSD,256,4.4,13.0,8,Amazon
ZENAERO,AeonBook 2024,Intel,Windows 11 Pro,Celeron N,35.0,249.99,SSD,512,4.5,15.6,12,Amazon
INHONLAP,No,Intel,11 Pro,Celeron N4000,15.0,198.99,SSD,256,4.4,14.0,8,Amazon
HP,Newest HP 14 Inch Laptop,Intel,Windows 11 Home,Celeron N,41.0,259.0,EMMC,64,4.4,14.0,4,Amazon
Microsoft,Surface Laptop,Intel,Windows 11,Intel Core i5,24.0,610.0,SSD,256,4.4,14.0,16,Amazon
Lenovo,Lenovo Thinkpad,AMD,Windows 10 Pro,AMD Ryzen 7,0.0,479.0,SSD,512,4.4,15.6,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0.0,579.99,SSD,4096,4.4,15.6,8,Amazon
Dell,Latitude,Intel,Windows 10 Pro,Intel Core i5,0.0,899.0,SSD,4096,4.3,14.0,64,Amazon
HP,HP Stream,Intel,Windows 11 S,Celeron N,338.0,220.5,EMMC,64,4.5,14.0,16,Amazon
HP,HP Stream,Intel,Windows 11 S,Pentium,21.0,349.0,EMMC,2048,4.5,14.0,16,Amazon
Lenovo,"Lenovo 15"" Laptop",Intel,Windows 11,Pentium,155.0,219.99,SSD,256,4.5,15.0,8,Amazon
Lenovo,ThinkPad E16 Gen 1,Intel,Windows 11 Pro,Core i7,2.0,1049.99,SSD,2048,4.4,16.0,32,Amazon
Apple,MacBook Pro,Intel,Mac OS X 10.0 Cheetah,Core i9,103.0,589.6,SSD,2048,4.4,16.0,16,Amazon
ACEMAGIC,AX15,Intel,Windows 11,Intel Mobile CPU,11.0,899.99,SSD,512,4.3,16.0,16,Amazon
HP,Essential 17,Intel,Windows 11,Intel Core i7,4.0,1039.99,SSD,4096,4.4,17.0,64,Amazon
HP,"2024 Newest HP 14"" Chromebook",Intel,Chrome OS,Celeron N,23.0,217.08,EMMC,64,4.5,14.0,4,Amazon
Dell,Latitude 5540,Intel,Windows 11 Pro,Core i5,0.0,1159.99,SSD,8192,4.4,15.6,64,Amazon
ASUS,Zephyrus Duo,AMD,Windows 11 Pro,Ryzen 9,41.0,3760.99,SSD,4096,3.4,16.0,32,Amazon
ist computers,ThinkPad E14 Gen 5,Intel,Windows 11 Pro,Core i5,2.0,799.98,SSD,512,4.5,14.0,16,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5.0,1079.0,SSD,2048,4.0,16.0,32,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,Ryzen 5,11.0,999.0,SSD,4096,4.1,16.0,40,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Core i5,2.0,929.0,SSD,2048,4.1,15.6,32,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1.0,119.99,EMMC,64,4.5,10.1,2,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5.0,1229.0,SSD,4096,4.0,16.0,64,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14.0,1049.0,SSD,2048,4.0,16.0,24,Amazon
ASUS,TUF Gaming A16,AMD,Windows 11,Ryzen 7,2.0,884.99,SSD,512,4.4,16.0,16,Amazon
Dell,Dell Latitude E5470,Intel,Windows 10 Pro,Core i5 Family,793.0,148.99,SSD,256,4.6,14.0,8,Amazon
Dell,Latitude 5420 Rugged,Intel,Windows 10 Pro,68LC040,7.0,929.95,SSD,2048,4.3,14.0,32,Amazon
HP,Essential 17,Intel,Windows 11,Intel Core i7,17.0,999.0,SSD,4096,4.3,17.3,64,Amazon
Lenovo,ThinkPad E16 Gen 1,Intel,Windows 11 Pro,Core i7,2.0,1049.99,SSD,2048,4.4,16.0,32,Amazon
Lenovo,IdeaPad 3i,Intel,Windows 11 Home,Celeron N4020,236.0,161.99,SSD,128,4.5,14.0,4,Amazon
FUNYET,NY-01,Intel,Windows 11 Pro,Celeron,284.0,259.99,SSD,256,4.4,14.1,8,Amazon
Lenovo,"Lenovo 15"" Laptop",Intel,Windows 11,Pentium,155.0,219.99,SSD,256,4.5,15.0,8,Amazon
Apple,MR9Q2LL/A,Intel,macOS 10.14 Mojave,Core i7,72.0,448.98,SSD,512,4.4,13.3,16,Amazon
Dell,3520,Intel,Windows 11 Home,Intel Core i5,6.0,349.99,SSD,256,4.2,15.6,8,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,Ryzen 5,11.0,869.0,SSD,2048,4.3,16.0,24,Amazon
Dell,Dell Inspiron,AMD,Windows 11 Pro,1.2GHz Cortex A8 Processor,0.0,649.0,SSD,2048,4.4,15.6,36,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,19.0,949.0,SSD,4096,4.3,14.0,32,Amazon
Panasonic,CF53RL1A,Intel,Windows 10 Pro,Core i5-2520M,239.0,448.99,SSD,2048,4.5,14.0,16,Amazon
Apple,MacBook Pro,Intel,macOS 10.15 Catalina,Core i5,220.0,438.97,SSD,256,4.4,13.0,8,Amazon
Lenovo,Lenovo T480 T480s,Intel,Windows 10 Pro,Intel Core i5,162.0,201.5,SSD,512,4.5,14.0,16,Amazon
jumper,EZbook S7Max,Intel,Windows 11,Celeron,9.0,229.99,SSD,128,4.5,16.0,4,Amazon
ASUS,FA607PV-AS93,AMD,Windows 11 Home,Ryzen 9,8.0,1338.18,SSD,512,4.0,16.0,16,Amazon
Dell,Latitude 5540,Intel,Windows 11 Pro,Core i5,0.0,1159.99,SSD,8192,4.4,15.6,64,Amazon
acer,Acer Chromebook Plus 514,Intel,Chrome OS,Intel Core i3,11.0,325.0,SSD,128,4.5,14.0,8,Amazon
HP,TPN-I139,Intel,Windows 11 Home,Core i7 Family,0.0,999.0,SSD,4096,4.1,17.3,64,Amazon
Apple,MacBook Pro,Intel,macOS Big Sur,Intel Core i7,45.0,525.0,SSD,512,4.5,16.0,32,Amazon
Alienware,Alienware X16 R1 Gaming Laptop,Intel,Windows 11 Home,Core i9,165.0,2766.0,SSD,2048,4.3,16.0,32,Amazon
HP,EliteBook 840 G10,Intel,Windows 11 Pro,Core i5,0.0,759.77,SSD,512,4.5,14.0,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21.0,575.1,SSD,2048,4.4,15.6,16,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2.0,399.99,SSD,2048,4.5,16.0,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0.0,579.99,SSD,4096,4.4,15.6,8,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1.0,119.99,EMMC,64,4.5,10.1,2,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2.0,399.99,SSD,2048,4.5,16.0,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0.0,579.99,SSD,4096,4.4,15.6,8,Amazon
Dell,Latitude,Intel,Windows 10 Pro,Intel Core i5,0.0,629.0,SSD,512,4.4,14.0,16,Amazon
Dell,Dell Mobile Workstation 7670,Intel,Windows 11 Pro,Core i9,1.0,2099.99,SSD,4096,4.0,16.0,64,Amazon
HP,TPN-C147,Intel,Windows 11 Home,Intel Mobile CPU,2.0,719.0,SSD,2048,4.5,16.0,16,Amazon
HP,HP Chromebook,Intel,Chrome OS,Celeron N,41.0,182.0,EMMC,128,4.4,14.0,4,Amazon
HP,"HP 11"" Laptop",Intel,Windows 11,Pentium,261.0,214.99,SSD,128,4.5,11.0,8,Amazon
HP,A14M,AMD,Windows 11 Home,AMD R Series,2.0,797.0,SSD,2048,4.5,15.6,32,Amazon
Maxsignage,Notebook-NJP1561P,Intel,Windows 11 Home,Celeron,13.0,899.99,SSD,512,4.4,15.6,12,Amazon
ACEMAGIC,AX16,Intel,Windows 11,Intel Mobile CPU,4.0,379.95,SSD,512,5.0,16.0,16,Amazon
ist computers,ThinkPad T14,Intel,Windows 11 Pro,Core i5,17.0,949.98,SSD,512,4.3,14.0,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21.0,575.1,SSD,2048,4.4,15.6,16,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,0.0,149.0,EMMC,64,4.6,14.1,6,Amazon
HP,HP Essential,Intel,Windows 11 Home,Pentium N5000,0.0,379.0,SSD,2048,4.5,14.0,8,Amazon
HP,TPN-C169,Intel,Windows 11 Home,Core i7 Family,12.0,1199.0,SSD,2048,4.4,16.1,32,Amazon
Lenovo,IdeaPad Slim 3 Chromebook,MediaTek,Chrome OS,MediaTek Helio,20.0,249.98,SSD,128,4.5,14.0,4,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i7,59.0,379.95,SSD,256,4.5,13.3,16,Amazon
CHUWI,HeroBook Pro Laptop,Intel,Windows 11,Celeron N4020,565.0,192.99,SSD,256,4.4,14.1,8,Amazon
HP,Chromebook 14,Intel,Chrome OS,Celeron,9.0,209.99,SSD,128,4.2,14.0,4,Amazon
acer,Acer Chromebook Plus 514 Laptop CB514-3HT-R8RB,AMD,Chrome OS,Ryzen 3,101.0,370.0,EMMC,128,4.3,14.0,8,Amazon
Lenovo,Legion Pro 9i Gen 9,Intel,Windows 11 Home,Core i9,2.0,3699.95,SSD,4096,4.2,16.0,32,Amazon
HP,TPN-I139,Intel,Windows 11 Home,Pentium,42.0,530.1,SSD,2048,4.4,17.3,16,Amazon
HP,FCFSV,Intel,Windows 11 S,Pentium Other,78.0,549.0,SSD,2048,4.4,17.3,20,Amazon
Lenovo,Lenovo,Intel,Windows 11 Home,Core i3-1215U,33.0,519.0,SSD,2048,4.4,15.6,24,Amazon
Microsoft,Microsoft Surface Laptop 5,Intel,Windows 11 Pro,Core i7,3.0,1680.18,SSD,2048,4.0,15.0,32,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,6.0,1499.0,SSD,8192,4.0,15.6,64,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,38.0,1299.0,SSD,2048,4.0,15.6,16,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,1.0,149.0,EMMC,64,4.6,14.1,6,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1.0,119.99,EMMC,64,4.4,10.1,2,Amazon
HP,HP,Intel,Windows 11,Intel Core i3,2.0,449.99,SSD,512,4.2,17.3,16,Amazon
HP,Essential,Intel,Windows 11 S,Celeron,6.0,399.99,SSD,256,4.3,15.6,32,Amazon
Lenovo,Lenovo V15 G2 IJL,Intel,Windows 11 Home,Celeron N,20.0,279.0,SSD,128,4.6,15.6,8,Amazon
ASUS,TP3402Z,Intel,Windows 11 Pro,Intel Core i9,5.0,1029.0,SSD,2048,4.4,16.0,32,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i5-6267U,59.0,359.0,SSD,256,4.3,13.3,8,Amazon
HP,ELITEBOOK X360 1040 G6,Intel,Windows 11 Pro,Intel Core i7,37.0,349.99,SSD,512,4.2,14.0,16,Amazon
SGIN,M17,Intel,11,Celeron,3.0,239.99,SSD,128,4.5,17.3,4,Amazon
HP,HP 15,Intel,Windows 10,Core I3 1115G4,447.0,303.0,SSD,256,4.5,15.6,8,Amazon
HP,Chromebook,Intel,Chrome OS,Celeron N,373.0,288.99,SSD,4,4.6,14.0,4,Amazon
HP,HP Notebook 15-dy1731ms,Intel,Windows 10,Intel Core i3,876.0,354.99,SSD,128,4.3,15.6,8,Amazon
Microsoft,Surface Laptop 5,Intel,Windows 11 Pro,Core i7,1.0,1570.0,SSD,2048,4.4,15.0,32,Amazon
ApoloMedia,NJP1561P,Intel,Windows 11 Home,Celeron N,64.0,288.0,SSD,512,4.2,15.6,12,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,0.0,149.0,EMMC,64,4.6,14.1,6,Amazon
jumper,EZbook S5,Intel,Windows 11,Celeron,12.0,409.99,SSD,512,4.5,14.0,12,Amazon
LETSUNG,ABLE 1,Intel,Windows 11 Home,Celeron N3350,16.0,199.0,SSD,256,4.4,14.0,4,Amazon
Lenovo,Essential,Intel,Windows 11,Mobile Intel Celeron Processor,2.0,499.99,SSD,512,4.4,15.6,36,Amazon
ASUS,ROG Strix G17,AMD,Windows 11 Home,Ryzen 7,162.0,1148.99,SSD,512,4.0,17.3,16,Amazon
ACEMAGIC,AX15,Intel,Windows 11,Intel Mobile CPU,18.0,899.99,SSD,512,4.4,15.6,16,Amazon
Microsoft,Surface Laptop 5,Intel,Windows 11 Pro,Core i7,2.0,1295.18,SSD,512,4.4,15.0,16,Amazon
acer,Aspire 5,AMD,Windows 11,Ryzen 3 3350U,977.0,385.0,SSD,128,4.3,15.6,4,Amazon
HP,HP,Intel,Windows 11 Home,Core i7,34.0,617.0,SSD,512,4.4,15.6,16,Amazon
ASUS,ASUS ROG Strix G18 Gaming Laptop,Intel,Windows 11 Pro,Core i9,6.0,2939.65,SSD,8192,4.3,18.0,64,Amazon
Dell,Dell Latitude,Intel,Windows 10 Pro,Core i7-8650U,183.0,214.0,SSD,512,4.5,14.0,16,Amazon
ist computers,IdeaPad Flex 5i,Intel,Chrome OS,Core i3 Family,3.0,499.98,SSD,256,4.4,14.0,8,Amazon
acer,Acer Aspire 3,AMD,Windows 11 Pro,Ryzen 7,10.0,699.0,SSD,2048,4.4,15.6,40,Amazon
SAMSUNG,Samsung Galaxy Book4,Intel,Windows 11 Pro,Intel Core 7,104.0,899.0,SSD,2048,4.4,15.6,16,Amazon
acer,A314-36P-35UU,Intel,Windows 11 S,Intel Core i3,57.0,299.09,SSD,128,4.6,14.0,8,Amazon
jumper,Ezbook S5MAX,Intel,Windows 11,Intel Mobile CPU,41.0,329.99,SSD,512,4.5,16.0,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,6.0,1349.0,SSD,4096,4.0,15.6,64,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,1.0,149.0,EMMC,64,4.6,14.1,6,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1.0,119.99,EMMC,64,4.5,10.1,2,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2.0,399.99,SSD,2048,4.5,16.0,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0.0,579.99,SSD,4096,4.4,15.6,8,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,AMD Ryzen 7,18.0,939.0,SSD,4096,4.3,16.0,40,Amazon
acer,Acer Nitro V Gaming Laptop,AMD,Windows 11 Home,Ryzen 5,25.0,769.99,SSD,512,4.3,15.6,8,Amazon
HP,HP ENVY x360,Intel,Windows 11 Pro,Core i7,0.0,1669.0,SSD,8192,4.4,15.6,64,Amazon
acer,Aspire,AMD,Windows 11,Ryzen 7,1.0,389.0,SSD,512,4.3,15.6,16,Amazon
HP,HP Laptop,Intel,Windows 11 S,Pentium,2.0,344.0,SSD,128,4.2,17.3,4,Amazon
ASUS,VivoBook 15,Intel,Windows 10 Home,Core i3-1005G1,21.0,323.0,SSD,128,4.5,15.6,8,Amazon
HP,HP laptop,Intel,Windows 11 Home,Core i3,694.0,609.0,SSD,2048,4.4,15.6,32,Amazon
ist computers,ThinkPad T16,Intel,Windows 11 Pro,Core i7,21.0,1349.99,SSD,2048,4.4,16.0,32,Amazon
ACEMAGIC,AX16,Intel,Windows 11,Intel Mobile CPU,25.0,379.95,SSD,512,4.3,16.0,16,Amazon
TPV,RenoPad,Intel,Windows 11 Pro,Intel Processor N100,21.0,349.0,SSD,512,4.7,14.0,16,Amazon
HP,HP Stream,Intel,Windows 11 S,Celeron N,338.0,220.5,EMMC,64,4.5,14.0,16,Amazon
Lenovo,IdeaPad 3 14ITL05,Intel,Windows 11 Home,Core i5 Family,3.0,341.0,SSD,512,4.2,14.0,12,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,0.0,149.0,EMMC,64,4.6,14.1,6,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21.0,575.1,SSD,2048,4.4,15.6,16,Amazon
HP,HP Essential,Intel,Windows 11 Home,Pentium N5000,0.0,379.0,SSD,2048,4.5,14.0,8,Amazon
Lenovo,IdeaPad Slim 3i,Intel,Windows 11 Home,Core i7,1.0,636.77,SSD,512,4.4,14.0,16,Amazon
Lenovo,ThinkPad T14 Gen 4,Intel,Windows 11 Pro,Core i7,1.0,1098.0,SSD,512,4.4,14.0,16,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Core i7,22.0,1079.0,SSD,2048,4.4,15.6,32,Amazon
acer,Spin,Intel,Chrome OS,Core i5,24.0,552.9,SSD,128,4.4,13.5,8,Amazon
ist computers,ProBook 450 G10,Intel,Windows 11 Pro,Core i5 Family,8.0,738.98,SSD,512,4.5,15.6,16,Amazon
Lenovo,Lenovo Laptop,Intel,Windows 10 S,Celeron,24.0,64.99,SSD,64,4.4,11.6,4,Amazon
ASUS,FX507VI-F15.I74070,Intel,Windows 11 Home,Core i7 Family,10.0,1499.99,SSD,2048,4.4,15.6,16,Amazon
Apple,MacBook Pro,Apple,Mac OS,1,5.0,1189.99,SSD,512,4.0,14.2,8,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i5,178.0,199.99,SSD,256,4.6,13.3,8,Amazon
HP,ProBook 445 G9,AMD,Windows 11 Pro,Ryzen 7,32.0,599.98,SSD,512,4.4,14.0,16,Amazon
Lenovo,IdeaPad 1 15IJL7,Intel,Windows 11 Home,Celeron N,11.0,359.0,SSD,256,4.3,15.6,12,Amazon
ZENAERO,AeonBook 2024,Intel,Windows 11 Pro,Celeron N,35.0,249.99,SSD,512,4.5,15.6,12,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,6.0,1499.0,SSD,8192,4.0,15.6,64,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,1.0,149.0,EMMC,64,4.6,14.1,6,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,1.0,849.0,SSD,2048,4.3,15.6,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1.0,119.99,EMMC,64,4.5,10.1,2,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21.0,529.0,SSD,512,4.4,15.6,16,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5.0,1169.0,SSD,2048,4.4,16.0,64,Amazon
Dell,Latitude E6440,Intel,Windows 10 Pro,Intel Core i5,631.0,153.26,SSD,256,4.5,14.0,8,Amazon
Lenovo,Lenovo Chromebook,Intel,Chrome OS,Celeron N,54.0,279.0,SSD,64,4.6,15.6,4,Amazon
ACEMAGIC,AX15,Intel,Windows 11,Intel Mobile CPU,32.0,359.98,SSD,512,3.5,16.0,16,Amazon
Dell,Vostro,Intel,Windows 11 Pro,Core i5,2.0,779.0,SSD,2048,4.5,15.6,32,Amazon
Lenovo,V15,Intel,Windows 11 Pro,Celeron,24.0,549.0,SSD,2048,4.4,15.6,32,Amazon
HP,HP Laptop,Intel,Windows 11 Pro,Pentium,295.0,659.99,SSD,2048,4.4,17.3,32,Amazon
Dell,DELL XPS 15 9530,Intel,Windows 11 Pro,Core i7,12.0,1798.99,SSD,4096,4.4,15.6,64,Amazon
HP,Essential 17,AMD,Windows 11,Ryzen 5,15.0,699.0,SSD,2048,4.4,17.0,32,Amazon
MSI,MSI Katana A15,Intel,Windows 11,Core i7,2.0,1129.0,SSD,2048,4.0,15.6,32,Amazon
HP,2024 Flagship HP 17 Laptop,Intel,Windows 11 Pro,Core i3,15.0,558.2,SSD,2048,4.4,17.3,32,Amazon
Lenovo,ThinkBook,Intel,Windows 11 Pro,Intel Core Ultra 5,18.0,839.0,SSD,2048,4.4,16.0,32,Amazon
Dell,Latitude,Intel,Windows 10 Pro,Intel Core i5,0.0,749.0,SSD,4096,4.3,14.0,32,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,22.0,899.0,SSD,2048,4.3,16.0,24,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14.0,1149.0,SSD,4096,4.0,16.0,40,Amazon
Lenovo,Lenovo ThinkBook,Intel,Windows 11 Pro,Core i7 Family,14.0,760.0,SSD,2048,4.5,15.6,40,Amazon
Dell,Dell Latitude 7480,Intel,Windows 10,Core i5,453.0,209.0,SSD,256,4.5,14.0,16,Amazon
ACEMAGIC,AX16,Intel,Windows 11,Intel Mobile CPU,6.0,341.96,SSD,512,2.6,16.0,16,Amazon
jumper,Ezbook S5MAX,Intel,Windows 11,Intel Mobile CPU,101.0,679.99,SSD,512,4.4,16.0,16,Amazon
MSI,MSI Thin 15,Intel,Windows 11,Core i5,2.0,699.0,SSD,512,4.4,15.6,16,Amazon
HP,TPN-C159,Intel,Windows 11 Pro,Core i7 Family,2.0,1178.1,SSD,2048,4.4,16.0,32,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Core i5,2.0,819.99,SSD,512,4.4,15.6,16,Amazon
HP,HP 17 Laptop,AMD,Windows 11 Home,Ryzen 5,19.0,564.99,SSD,2048,4.4,17.3,16,Amazon
acer,Aspire 5,AMD,Windows 11 S,Ryzen 3,266.0,498.88,SSD,2048,4.4,15.6,20,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Core i7,12.0,1219.0,SSD,4096,4.0,15.6,64,Amazon
Dell,Dell Mobile Workstation 7670,Intel,Windows 11 Pro,Core i5,1.0,1299.99,SSD,2048,4.0,16.0,32,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2.0,399.99,SSD,2048,4.5,16.0,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0.0,579.99,SSD,4096,4.4,15.6,8,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,0.0,149.0,EMMC,64,4.6,14.1,6,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1.0,119.99,EMMC,64,4.5,10.1,2,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21.0,575.1,SSD,2048,4.4,15.6,16,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,Ryzen 5,11.0,999.0,SSD,4096,4.1,16.0,40,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Core i5,1.0,799.99,SSD,256,4.5,15.6,16,Amazon
ASUS,F1504Z,Intel,Windows 11 Home,Core i7 Family,28.0,696.0,SSD,2048,4.4,15.6,40,Amazon
Microsoft,Microsoft Surface Laptop Studio,Intel,Windows 11 Home,Intel Core i7-11700,159.0,1699.0,SSD,2048,4.4,14.4,32,Amazon
HP,HP Essential,Intel,Windows 11,Intel Core i3,3.0,499.0,SSD,2048,4.4,15.6,64,Amazon
Lenovo,IdeaPad,Intel,Windows 11 Pro,Core i5,0.0,479.99,SSD,512,4.4,15.6,16,Amazon
Lenovo,Lenovo Thinkpad,Intel,Windows 10 Pro,Core i5,219.0,178.17,SSD,256,4.4,14.0,16,Amazon
Dell,Latitude 7440,Intel,Windows 11 Pro,Core i7,11.0,1049.0,SSD,512,4.0,14.0,32,Amazon
HP,HP-830 G6,Intel,Windows 10 Pro,Intel Core i7,144.0,199.99,SSD,256,4.6,14.0,16,Amazon
Lenovo,IdeaPad,Intel,Windows 11 Home,Core i3 Family,361.0,446.99,SSD,2048,4.5,14.0,20,Amazon
