Laptop_Brand,Laptop_Name,Processor_Company,Operating_System,Processor,Number_of_Reviews,Price,Storage_Type,Rating,Screen_Size,RAM,Source
Lenovo,IdeaPad Flex 5i,Intel,Chrome OS,Core i3,277,469.0,SSD,4.4,14.0,8,Amazon
Lenovo,Yoga 7i,AMD,Windows 11 Pro,Ryzen 7,16,999.99,SSD,4.3,16.0,16,Amazon
Lenovo,21JT,AMD,Windows 11 Pro,Ryzen 5,111,717.0,SSD,4.5,16.0,24,Amazon
Lenovo,ThinkPad X1 Carbon Gen 11 Laptop PC,Intel,Windows 11 Pro,Core i7 Family,8,1339.77,SSD,4.0,14.0,32,Amazon
acer,Acer Chromebook Plus 514,Intel,Chrome OS,Intel Core i3,38,344.98,SSD,4.5,14.0,8,Amazon
ASUS,Q420V,Intel,Windows 11 Pro,Core i7 Family,67,899.0,SSD,4.4,14.5,16,Amazon
HP,TPN-Q279_598U1AV,AMD,Windows 11 Home,Ryzen 5,856,674.87,SSD,4.4,15.6,16,Amazon
Apple,FBA_MQD42LL/A,Intel,Mac OS,Core i5,172,184.34,SSD,4.5,13.3,8,Amazon
Dell,"Dell 11"" Chromebook",Intel,Chrome OS,Celeron N,17,74.99,SSD,4.4,11.0,4,Amazon
HP,TPN-I139_767K9AV,Intel,Windows 11 Home,Core i5 Family,5,795.63,SSD,4.3,17.3,32,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,Ryzen 5,11,1099.0,SSD,4.0,16.0,40,Amazon
HP,HP Stream,Intel,Windows 11 S,Celeron,413,298.0,EMMC,4.6,14.0,16,Amazon
HP,EliteBook 840,Intel,Windows 10 Pro,Core i5 6200U,543,158.68,SSD,4.5,14.0,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,24,889.0,SSD,4.3,15.6,32,Amazon
Apple,MacBook Air,Intel,macOS 12 Monterey,Core i5 5300U,441,139.99,HDD,4.4,11.6,8,Amazon
Lenovo,IdeaPad 1 15IJL7,Intel,Windows 11 Home,Celeron,297,288.15,SSD,4.6,15.6,12,Amazon
Apple,MacBook Air,Intel,Mac OS,Core i5,173,384.95,SSD,4.5,13.0,8,Amazon
Lenovo,X1 Carbon Gen 11,Intel,Windows 11 Pro,Intel Core i7,29,1139.11,SSD,4.4,14.0,16,Amazon
HP,TPN-Q278_599J4AV,Intel,Windows 11 Home,Core i5 Family,5,728.0,SSD,4.5,15.6,32,Amazon
SAMSUNG,Samsung Chromebook Plus V2,Intel,Chrome OS,Celeron,259,279.98,SSD,4.6,12.2,4,Amazon
Hp,Multitasking Slim,Intel,Windows 11,Intel Mobile CPU,29,349.85,SSD,4.2,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,2,729.0,SSD,5.0,14.0,64,Amazon
HP,TPN-C164,Intel,Windows 11 Home,Intel Mobile CPU,0,1536.59,SSD,4.4,17.3,64,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1,119.99,EMMC,4.5,10.1,2,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14,1049.0,SSD,4.0,16.0,24,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,Ryzen 5,11,869.0,SSD,4.3,16.0,24,Amazon
Apple,MacBook Pro,Apple,Mac OS,Apple M1,269,619.97,SSD,4.4,13.3,8,Amazon
ASUS,ROG Flow Z13,Intel,Windows 11 Home,Core i9,96,1574.99,SSD,4.0,13.4,16,Amazon
Lenovo,ThinkPad P15v Gen 3,Intel,Windows 11 Pro,Core i7 Family,2,1259.0,SSD,4.4,15.6,32,Amazon
Lenovo,T480s,Intel,Windows 10 Pro,Intel Core i7,405,321.74,SSD,4.5,14.0,24,Amazon
FUNYET,DuetBook,Intel,Windows 11 Pro,Celeron,531,349.99,SSD,4.2,16.0,16,Amazon
Naclud,M17S,Intel,11,Celeron,34,239.99,SSD,4.5,17.3,4,Amazon
BiTECOOL,HaloBook,Intel,Windows 11 Pro,Core i3,266,289.0,SSD,4.6,15.6,16,Amazon
SAMSUNG,Chromebook Plus V2,Intel,Chrome OS,Celeron,83,238.99,SSD,4.5,12.2,4,Amazon
NIAKUN,NiaBook,Intel,Windows 11 Pro,Celeron,68,359.99,SSD,4.3,16.0,16,Amazon
ist computers,Lenovo Thinkpad,AMD,Windows 11 Pro,Ryzen 5,60,699.99,SSD,4.4,16.0,16,Amazon
ASUS,TUF Gaming A16,AMD,Windows 11 Home,Ryzen 7,48,1568.0,SSD,4.0,16.0,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21,529.0,SSD,4.4,15.6,16,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5,1079.0,SSD,4.0,16.0,32,Amazon
acer,Chromebook Spin 713,Intel,Chrome OS,Core i3-10110U,6,104.99,EMMC,4.4,13.5,4,Amazon
Dell,Dell Latitude 7420 Laptop,Intel,Windows 11 Pro,Intel Core i7-1165G7,74,386.65,SSD,4.5,14.0,16,Amazon
HP,HP Laptop,Intel,Windows 11 S,Core i3,112,342.97,SSD,4.5,15.6,8,Amazon
HP,HP,Intel,Windows 11 Pro,Intel Core i3,70,519.0,SSD,4.4,17.3,32,Amazon
Dell,Dell XPS 15,Intel,Windows 11 Pro,Core i7,149,1759.99,SSD,4.0,15.6,32,Amazon
HP,HP,Intel,Windows 11,Pentium,50,329.99,SSD,4.5,15.6,16,Amazon
HP,HP Chromebook 14a-na0031wm,Intel,Chrome OS,Celeron N,851,149.99,EMMC,4.6,14.0,4,Amazon
HP,Pavilion,AMD,Windows 11,AMD R Series,259,412.0,SSD,4.5,15.6,16,Amazon
HP,HP,Intel,Windows 11 Pro,Core i3,61,549.0,SSD,4.4,17.3,32,Amazon
jumper,EZbook S5Max,Intel,11,Celeron,65,199.99,EMMC,4.4,16.0,4,Amazon
Apple,MacBook Pro,Apple,Mac OS,Unknown,264,799.98,SSD,4.4,13.0,8,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,2,729.0,SSD,5.0,14.0,16,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1,119.99,EMMC,4.5,10.1,2,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
HP,HP EliteBook,Intel,Windows 10 Pro,Core i7,750,248.0,SSD,4.5,14.0,16,Amazon
HP,hp 15,Intel,Windows 11,Core i3,17,548.55,SSD,4.4,15.6,32,Amazon
Dell,Dell Chromebook 11,Intel,Chrome OS,Celeron N3060,356,54.99,SSD,4.1,11.6,4,Amazon
Lenovo,ThinkBook 15 G3 ACL,Intel,Windows 11 Pro,Core i7 Family,2,603.0,SSD,4.4,15.6,16,Amazon
Lenovo,ThinkPad T14s,Intel,Windows 11 Pro,Core i7,11,469.99,SSD,4.4,14.0,32,Amazon
Lenovo,V15,Intel,Windows 11 Pro,Core i5,42,569.0,SSD,4.4,15.6,16,Amazon
ACEMAGIC,AX16PRO,AMD,Windows 11,AMD Ryzen 7,48,599.99,SSD,4.2,16.1,16,Amazon
HP,HP,AMD,Windows 11 Home,Ryzen 3,80,369.0,SSD,4.3,17.3,8,Amazon
HP,HP Laptop 14-dq5009nr,Intel,Windows 11 Home,Core i3,240,314.99,SSD,4.2,14.0,8,Amazon
Samsung,NP964XGK-KG1US,Intel,Windows 11 Pro,1.2GHz Cortex A8 Processor,20,1799.0,SSD,4.4,16.0,32,Amazon
ASUS,Business Laptop,Intel,Windows 11 Pro,Intel Core i3,34,499.0,SSD,4.4,14.0,24,Amazon
ist computers,V15 G3 Business Laptop,Intel,Windows 11 Pro,Core i7 Family,14,728.98,SSD,4.5,15.6,40,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0,579.99,SSD,4.4,15.6,8,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21,575.1,SSD,4.4,15.6,16,Amazon
HP,HP Essential,Intel,Windows 11 Home,Pentium N5000,0,379.0,SSD,4.5,14.0,8,Amazon
WIPEMIK,M,Intel,11 Pro,Celeron N,8,199.0,SSD,4.4,14.0,8,Amazon
ASUS,Asus Chromebook,Intel,Chrome OS,Celeron N3350,659,127.99,SSD,4.6,14.0,4,Amazon
acer,Aspire 5,AMD,Windows 10 Home,Ryzen 3 3200U,929,399.0,SSD,4.3,15.6,4,Amazon
HP,15-ey0013dx,AMD,Windows 11 Home,AMD R Series,86,508.98,SSD,4.4,15.6,8,Amazon
Apple,MacBook Air,Intel,macOS 10.15 Catalina,Intel Core i5,296,466.9,SSD,4.4,13.3,8,Amazon
HP,HP Laptop 17,AMD,Windows 11 Home,Ryzen 5,15,519.99,SSD,4.4,17.3,32,Amazon
Dell,Latitude,Intel,Windows 10 Pro,Pentium,251,102.8,SSD,4.4,11.6,4,Amazon
ASUS,FX507VI-F15.I74070,Intel,Windows 11 Pro,Core i7 Family,10,1391.99,SSD,4.4,15.6,32,Amazon
Lenovo,ThinkPad,Intel,Windows 10 Pro,Core i5,460,243.97,SSD,4.5,14.0,16,Amazon
Dell,Dell Inspiron Laptop,Intel,Windows 11,Intel Celeron D,16,469.0,SSD,4.4,15.6,64,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,10,1296.71,SSD,4.0,15.6,64,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,0,149.0,EMMC,4.6,14.1,6,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,38,1299.0,SSD,4.0,15.6,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1,119.99,EMMC,4.5,10.1,2,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21,575.1,SSD,4.4,15.6,16,Amazon
Lenovo,ThinkBook 16 G4+ IAP,Intel,Windows 11 Pro,Intel Mobile CPU,1,1159.0,SSD,4.4,16.0,64,Amazon
jumper,EZbook S7Hi,Intel,Windows 11,Celeron 5205U,8,379.99,SSD,4.3,15.6,4,Amazon
MSI,Raider GE68HX 14VHG-286US,Intel,Windows 11 Home,Intel Core i9,3,3199.0,SSD,3.4,16.0,64,Amazon
ist computers,EliteBook 845 G8,AMD,Windows 11 Pro,Ryzen 5,68,579.99,SSD,4.4,14.0,16,Amazon
Lenovo,Lenovo Thinkpad Yoga,Intel,Windows 10,Celeron N,520,99.0,SSD,4.5,11.6,4,Amazon
acer,CB315-4H-C8XU,Intel,Chrome OS,Celeron,41,189.0,SSD,4.4,15.6,4,Amazon
Dell,Latitude 7430,Intel,Windows 11 Pro,Core i7,12,594.02,SSD,4.4,14.0,32,Amazon
Dell,Inspiron 15 3520,Intel,Windows 11 Home,Core i7 Family,51,633.95,SSD,4.4,15.6,32,Amazon
Lenovo,Lenovo V15 G2 IJL,Intel,Windows 11 Pro,Celeron,0,349.0,SSD,3.8,15.6,16,Amazon
Dell,Latitude 3380,Intel,Windows 10 Pro,Core i3 Family,136,119.99,SSD,4.4,13.3,4,Amazon
HP,HP,Intel,Windows 11 Home,Core i3-1115G4E,364,417.99,SSD,4.5,15.6,16,Amazon
MSI,Stealth 16 AI Studio A1VGG-036US,Intel,Windows 11 Pro,Intel Mobile CPU,49,2599.0,SSD,4.0,16.0,64,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5,1079.0,SSD,4.0,16.0,32,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,Ryzen 5,11,869.0,SSD,4.3,16.0,24,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,24,849.0,SSD,4.3,15.6,16,Amazon
acer,Nitro V Gaming Laptop ANV15-51-92XK,Intel,Windows 11 Home,Intel Core i9,305,1349.99,SSD,4.4,15.6,32,Amazon
Lenovo,V15,Intel,Windows 11 Home,Intel Pentium 4,138,325.98,SSD,4.5,15.0,40,Amazon
Lenovo,T14 Gen 1,Intel,Windows 11 Pro,Core i5 Family,81,314.0,SSD,4.5,14.0,16,Amazon
Lenovo,Ideapad,Intel,Windows 11 Home,Intel Core i3,509,320.0,SSD,4.5,15.6,8,Amazon
HP,HP,Intel,Windows 11,Pentium,153,329.98,EMMC,4.2,14.0,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Core i5,0,829.99,SSD,4.4,15.6,16,Amazon
ASUS,Zenbook Pro 14,Intel,Windows 11 Home,Core i9,101,2094.99,SSD,4.3,14.5,32,Amazon
Oemgenuine,Latitude 3550,Intel,Windows 11 Pro,Core i5,16,819.95,SSD,4.4,15.6,16,Amazon
ApoloSign,NJP1561P,Intel,Windows 11 Home,Celeron N,8,629.99,SSD,4.4,15.6,12,Amazon
Microsoft,"Surface Laptop 3 15""",Intel,Windows 11 Pro,Core i5,45,394.03,SSD,4.3,15.0,16,Amazon
Lenovo,V15,Intel,Windows 11 Pro,Celeron,2,599.99,SSD,4.4,15.6,32,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0,579.99,SSD,4.4,15.6,8,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,22,889.0,SSD,4.3,16.0,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1,119.99,EMMC,4.5,10.1,2,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0,579.99,SSD,4.4,15.6,8,Amazon
MSI,Titan 18 HX A14VIG-036US,Intel,Windows 11 Pro,Intel Core i9,14,4939.0,SSD,5.0,18.0,128,Amazon
ist computers,ThinkPad T16,Intel,Windows 11 Pro,Core i7,8,1299.0,SSD,4.0,16.0,32,Amazon
Lenovo,LOQ 15,AMD,Windows 11 Home,Ryzen 7,17,991.85,SSD,4.1,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,10,1007.98,SSD,4.0,15.6,16,Amazon
Dell,Latitude E7470,Intel,Windows 10 Pro,Intel Core i5,521,151.09,SSD,4.5,14.0,8,Amazon
Microsoft,Microsoft Surface,Intel,Windows 10,Core i7,65,374.99,SSD,4.3,13.5,16,Amazon
HP,HP Laptop,AMD,Windows 11 Home,Ryzen 5,40,759.99,SSD,4.5,17.3,64,Amazon
Samsung,XE530QDA-KA1US,Intel,Chrome OS,Core i3,191,454.99,SSD,4.4,13.3,8,Amazon
acer,Spin 311 2H,Intel,Chrome OS,MediaTek MT8183,480,257.5,EMMC,4.6,11.6,4,Amazon
Apple,MacBook Pro,Intel,macOS 10.12 Sierra,Core i7,948,404.97,SSD,4.5,15.0,16,Amazon
Dell,Inspiron 15 3000 3520,Intel,Windows 11 Pro,Intel Core i5,49,511.02,SSD,4.4,15.6,32,Amazon
HP,Newest HP 14 Inch Laptop,Intel,Windows 11 Home,Celeron N,47,249.0,EMMC,4.5,14.0,4,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21,575.1,SSD,4.4,15.6,16,Amazon
HP,HP Essential,Intel,Windows 11 Home,Pentium N5000,0,379.0,SSD,4.5,14.0,8,Amazon
HP,HP,Intel,Windows 11 Pro,Core i5-1235U,280,599.0,SSD,4.4,15.6,32,Amazon
Lapbook,S15,Intel,Windows 11 Home S Edition,Celeron N4020,154,199.99,SSD,4.4,15.6,8,Amazon
HP,HP-840G6,Intel,Windows 10 Pro,Core i5,141,215.89,SSD,4.5,14.0,16,Amazon
Apple,MacBook Pro,Apple,macOS Sonoma,1,10,1587.0,SSD,4.4,14.2,18,Amazon
HP,HP Stream,Intel,Windows 11 S,Celeron N,480,309.0,EMMC,4.5,14.0,16,Amazon
acer,A514-56M-576D,Intel,Windows 11 Home,Core i5,40,439.89,SSD,4.5,14.0,8,Amazon
jumper,EZbook S7MAX,Intel,Windows 11 Home,Celeron,7,327.96,SSD,4.2,16.0,12,Amazon
Dell,Inspiron 15 3520 Laptop,Intel,Windows 11 Home,Core i5,36,380.0,SSD,4.3,15.6,8,Amazon
HP,HP Chromebook,Intel,Chrome OS,Celeron N,39,154.99,EMMC,4.5,14.0,4,Amazon
HP,HP Laptop 17-cp2099nr,AMD,Windows 11 Home,Ryzen 5,46,550.0,SSD,4.4,17.3,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,10,1296.71,SSD,4.0,15.6,64,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,0,149.0,EMMC,4.6,14.1,6,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,6,1499.0,SSD,4.0,15.6,64,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1,119.99,EMMC,4.5,10.1,2,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,Ryzen 5,11,1099.0,SSD,4.0,16.0,40,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
acer,AN515-58-525P,Intel,Windows 11 Home,Core i5,827,669.88,SSD,4.4,15.6,8,Amazon
HP,Notebook,AMD,Windows 11,Ryzen 3 3250U,504,379.0,SSD,4.3,14.0,16,Amazon
acer,Predator Helios 16 PH16-71-71AV,Intel,Windows 11 Home,Intel Core i7,3,1189.99,SSD,4.4,16.0,16,Amazon
Dell,Dell 11.5 Chromebook,Intel,Chrome OS,Celeron,2,74.99,SSD,4.4,11.5,4,Amazon
Apple,MacBook Pro,Apple,Mac OS,Apple M1,61,799.95,SSD,4.4,13.3,16,Amazon
Microsoft,Surface Laptop 5,Intel,Windows 11 Pro,Core i7,1,1231.1,SSD,4.4,13.5,16,Amazon
Lenovo,ThinkPad X1 Carbon Gen 12,Intel,Windows 11 Pro,Core i7,0,1543.99,SSD,4.0,14.0,32,Amazon
HP,TPN-I139,Intel,Windows 11 Home,Core i7 Family,68,795.0,SSD,4.5,17.3,32,Amazon
ist computers,ThinkPad E16,AMD,Windows 11 Pro,Ryzen 5,13,649.98,SSD,4.4,16.0,16,Amazon
ist computers,ThinkPad T14,AMD,Windows 11 Pro,Ryzen 5,31,799.98,SSD,4.5,14.0,16,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14,1049.0,SSD,4.0,16.0,24,Amazon
Lenovo,Lenovo Thinkpad,AMD,Windows 10 Pro,AMD Ryzen 7,0,479.0,SSD,4.4,15.6,16,Amazon
Lenovo,ThinkBook 16 G4+ IAP,Intel,Windows 11 Pro,Intel Mobile CPU,1,1159.0,SSD,4.4,16.0,64,Amazon
SGIN,SGIN-M15,Intel,11,Celeron,8,189.99,SSD,4.4,15.6,4,Amazon
SAMSUNG,Lenovo,Intel,Windows 11 Pro,Core i7,44,699.0,SSD,4.4,14.0,16,Amazon
ist computers,ThinkPad E15 Gen 4,AMD,Windows 11 Pro,AMD Ryzen 7,50,799.99,SSD,4.5,15.6,16,Amazon
Lenovo,Lenovo 500E,Intel,Chrome OS,Celeron N3450,509,84.95,SSD,4.4,11.6,4,Amazon
Apple,MacBook Pro,Apple,Mac OS,Unknown,86,1347.0,SSD,4.4,14.0,16,Amazon
Alienware,Alienware m18 AMD Gaming Laptop,AMD,Windows 11 Home,Ryzen 9,204,2650.68,SSD,4.3,18.0,32,Amazon
Lenovo,ThinkPad X1 Carbon Gen 12,Intel,Windows 11 Pro,Core i7,3,939.0,SSD,5.0,14.0,32,Amazon
Dell,Inspiron 3000,Intel,Windows 11 Pro,Core i5,59,467.0,SSD,4.4,15.6,16,Amazon
Apple,MacBook Air,Apple,macOS 10.15 Catalina,Unknown,130,825.0,SSD,4.4,15.0,8,Amazon
Dell,Dell Latitude,Intel,Windows 11,Core i7,139,349.9,SSD,4.5,13.3,16,Amazon
acer,Chromebook Spin 713,Intel,Chrome OS,Core i3-10110U,6,104.99,EMMC,4.4,13.5,4,Amazon
Oemgenuine,ThinkPad E16 Gen 1,Intel,Windows 11 Pro,Core i5,42,799.95,SSD,4.5,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,19,949.0,SSD,4.3,14.0,32,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1,119.99,EMMC,4.4,10.1,2,Amazon
HP,HP,Intel,Windows 11,Intel Core i3,2,449.99,SSD,4.2,17.3,16,Amazon
ASUS,Strix G16,Intel,Windows 11 Home,Core i7,331,1274.99,SSD,4.0,16.0,16,Amazon
Lenovo,ThinkPad X1 Carbon Gen 12,Intel,Windows 11 Pro,Core i7,0,2298.83,SSD,4.3,14.0,64,Amazon
SAMSUNG,Chromebook 4+,Intel,Chrome OS,Celeron N3450,568,210.0,SSD,4.5,15.6,4,Amazon
ist computers,Lenovo Thinkpad E16,Intel,Windows 11 Pro,Core i5 Family,109,799.99,SSD,4.5,16.0,16,Amazon
Oemgenuine,ThinkPad E16,Intel,Windows 11 Pro,Core i5,42,779.95,SSD,4.5,15.6,16,Amazon
HP,250,Intel,Windows 11 Home,Celeron,167,569.99,SSD,4.4,15.6,32,Amazon
Lenovo,N23 Yoga Chromebook,MediaTek,Chrome OS,H8S,305,74.99,SSD,4.4,11.6,4,Amazon
HP,11-G2 X360,Intel,Windows 10 Pro,Intel Core M-5Y10 Processor,108,119.0,SSD,4.4,11.6,8,Amazon
Lenovo,ThinkPad X1 Carbon Gen 12,Intel,Windows 11 Pro,Others,9,1849.99,SSD,4.4,14.0,32,Amazon
Apple,Macbook Pro,Apple,Mac OS,Apple M1,0,614.99,SSD,4.4,13.3,8,Amazon
Apple,MacBook Pro,Apple,Mac OS,Apple M1,103,624.95,SSD,4.4,13.3,8,Amazon
Dell,Latitude 7430,Intel,Windows 11 Pro,Core i7,5,597.0,SSD,4.4,14.0,32,Amazon
Lenovo,82YN0002US,Intel,Windows 11 Home,Intel Core i7-1355U,26,841.68,SSD,4.3,16.0,16,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,0,149.0,EMMC,4.6,14.1,6,Amazon
jumper,EZbook S5,Intel,Windows 11,Celeron,12,409.99,SSD,4.5,14.0,12,Amazon
HP,Essential,Intel,Windows 11 S,Celeron,0,399.99,SSD,4.3,15.6,32,Amazon
acer,Acer Aspire 3,AMD,Windows 11 Home,Ryzen 7,170,445.0,SSD,4.2,15.6,16,Amazon
Apple,MV962LL/A,Intel,Mac OS,Core i5,395,404.05,SSD,4.5,13.3,8,Amazon
acer,Swift Go 14,Intel,Windows 11 Home,Intel Core i7,69,799.99,SSD,4.3,14.0,16,Amazon
ASUS,FA617_280W,AMD,Windows 11 Home,Ryzen 7,4,1099.0,SSD,4.4,16.0,32,Amazon
MSI,Raider GE78HX 14VIG-600US,Intel,Windows 11 Home,Intel Core i9,5,3499.0,SSD,3.4,17.0,64,Amazon
Lenovo,Lenovo IdeaPad 3,Intel,Windows 11 Pro,Intel Core i7,83,699.0,SSD,4.4,15.6,40,Amazon
HP,HP Laptop 15-ef2024nr,AMD,Windows 11 Home,Ryzen 3,489,336.95,SSD,4.5,15.0,8,Amazon
Lenovo,lenovo,Intel,Windows 11,Celeron N,243,296.29,SSD,4.6,15.6,12,Amazon
LG,17Z90SP-G.ADB9U1,Intel,Windows 11 Home,Intel Core Ultra 7,42,1849.0,SSD,4.0,17.0,32,Amazon
ASUS,Zenbook S,Intel,Windows 11 Pro,Core i7,8,1399.0,SSD,4.4,13.3,32,Amazon
HP,"HP 14"" Chromebook",Intel,Chrome OS,Celeron,268,199.99,SSD,4.4,14.0,4,Amazon
jumper,Ezbook S5MAX,Intel,Windows 11,Intel Mobile CPU,41,329.99,SSD,4.5,16.0,16,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,1,149.0,EMMC,4.6,14.1,6,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1,119.99,EMMC,4.4,10.1,2,Amazon
HP,TPN-C164,Intel,Windows 11 Pro,Intel Mobile CPU,0,1699.0,SSD,4.0,17.3,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,1,849.0,SSD,4.3,15.6,16,Amazon
jumper,EZbook S5 MAX,Intel,Windows 11 Home,Celeron,12,329.99,SSD,3.0,16.0,16,Amazon
Dell,Inspiron,Intel,Windows 11 Home,Core i5-1035G1,619,504.69,SSD,4.4,15.6,32,Amazon
WIPEMIK,P15,Intel,Windows 11 Pro,core_m,98,289.0,SSD,4.6,15.6,16,Amazon
ACEMAGIC,AX16,Intel,Windows 11,Intel Mobile CPU,10,341.96,SSD,4.5,16.0,16,Amazon
Lenovo,Laptop,Intel,Windows 11 Pro,Celeron,66,499.99,SSD,4.4,15.6,16,Amazon
ApoloSign,NJP1561P,Intel,Windows 11,Celeron N5095,7,799.99,SSD,4.5,15.6,12,Amazon
acer,Acer Chromebook,Intel,Chrome OS,Celeron,71,51.0,EMMC,4.1,11.6,4,Amazon
Apple,MacBook Pro,Intel,Mac OS,Intel Core i7,224,476.99,SSD,4.0,15.4,16,Amazon
Apple,MacBook Air,Apple,macOS Sonoma,Unknown,3,849.0,SSD,4.3,13.6,8,Amazon
Lenovo,ThinkPad E16 Gen 1,Intel,Windows 11 Pro,Core i7,10,818.98,SSD,4.4,16.0,16,Amazon
Dell,Dell Latitude 5420,Intel,Windows 10 Pro,Core i5,78,279.99,SSD,4.6,14.0,16,Amazon
HP,HP Elitebook 840 G5,Intel,Windows 11,Core i5,193,240.0,SSD,4.5,14.0,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,24,819.0,SSD,4.3,15.6,16,Amazon
Oemgenuine,ThinkPad E15 Gen 2,AMD,Windows 10 Pro,Ryzen 5 4500U,2,829.95,SSD,4.4,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,1,1319.0,SSD,4.0,15.6,64,Amazon
jumper,Ezbook S5MAX,Intel,Windows 11,Intel Mobile CPU,41,329.99,SSD,4.5,16.0,16,Amazon
Microsoft,Microsoft Surface,Intel,Windows 11,Core i7,15,500.23,SSD,4.4,13.5,16,Amazon
Apple,MacBook Pro,Intel,macOS 10.15 Catalina,Core i7,12,519.99,SSD,4.4,16.0,32,Amazon
Dell,Latitude 7400,Intel,Windows 10 Pro,Core i7,211,229.0,SSD,4.5,14.0,16,Amazon
Lenovo,IdeaPad Slim 3i,Intel,Windows 11 Home,Core i5 Family,12,547.85,SSD,4.4,15.6,16,Amazon
HP,HP,Intel,Windows 11,Celeron,93,237.59,EMMC,4.5,14.0,16,Amazon
HP,Newest HP 14 Inch Laptop,Intel,Windows 11 Home,Celeron N,139,239.0,EMMC,4.5,14.0,4,Amazon
Dell,Dell Mobile Workstation 7670,Intel,Windows 11 Pro,Core i7,7,1788.99,SSD,4.0,16.0,64,Amazon
HP,HP Pavilion Laptop 15-eg2025nr,Intel,Windows 11 Pro,Core i7,584,764.03,SSD,4.5,15.6,16,Amazon
Dell,Dell Latitude,Intel,Windows 10 Pro,Core i7,58,165.6,SSD,4.5,14.0,16,Amazon
